INPUT_TABLE
Variable ID
SubsectorLogit_relative-cost-logit

region,supplysector,subsector,logit.type
USA,water_td_dom_C,water_td_dom_C,relative-cost-logit
USA,water_td_elec_C,water_td_elec_C,relative-cost-logit
USA,water_td_an_C,water_td_an_C,relative-cost-logit
USA,water_td_ind_C,water_td_ind_C,relative-cost-logit
USA,water_td_pri_C,water_td_pri_C,relative-cost-logit
USA,water_td_irr_PacArctic_C,water_td_irr_PacArctic_C,relative-cost-logit
USA,water_td_irr_NelsonR_C,water_td_irr_NelsonR_C,relative-cost-logit
USA,water_td_irr_FraserR_C,water_td_irr_FraserR_C,relative-cost-logit
USA,water_td_irr_MexCstNW_C,water_td_irr_MexCstNW_C,relative-cost-logit
USA,water_td_irr_Caribbean_C,water_td_irr_Caribbean_C,relative-cost-logit
USA,water_td_irr_California_C,water_td_irr_California_C,relative-cost-logit
USA,water_td_irr_MissppRN_C,water_td_irr_MissppRN_C,relative-cost-logit
USA,water_td_irr_MissppRS_C,water_td_irr_MissppRS_C,relative-cost-logit
USA,water_td_irr_UsaColoRN_C,water_td_irr_UsaColoRN_C,relative-cost-logit
USA,water_td_irr_UsaColoRS_C,water_td_irr_UsaColoRS_C,relative-cost-logit
USA,water_td_irr_GreatBasin_C,water_td_irr_GreatBasin_C,relative-cost-logit
USA,water_td_irr_MissouriR_C,water_td_irr_MissouriR_C,relative-cost-logit
USA,water_td_irr_ArkWhtRedR_C,water_td_irr_ArkWhtRedR_C,relative-cost-logit
USA,water_td_irr_TexasCst_C,water_td_irr_TexasCst_C,relative-cost-logit
USA,water_td_irr_UsaCstSE_C,water_td_irr_UsaCstSE_C,relative-cost-logit
USA,water_td_irr_GreatLakes_C,water_td_irr_GreatLakes_C,relative-cost-logit
USA,water_td_irr_OhioR_C,water_td_irr_OhioR_C,relative-cost-logit
USA,water_td_irr_UsaPacNW_C,water_td_irr_UsaPacNW_C,relative-cost-logit
USA,water_td_irr_TennR_C,water_td_irr_TennR_C,relative-cost-logit
USA,water_td_irr_RioGrande_C,water_td_irr_RioGrande_C,relative-cost-logit
USA,water_td_irr_UsaCstNE_C,water_td_irr_UsaCstNE_C,relative-cost-logit
USA,water_td_irr_UsaCstE_C,water_td_irr_UsaCstE_C,relative-cost-logit
USA,water_td_dom_W,water_td_dom_W,relative-cost-logit
USA,water_td_elec_W,water_td_elec_W,relative-cost-logit
USA,water_td_an_W,water_td_an_W,relative-cost-logit
USA,water_td_ind_W,water_td_ind_W,relative-cost-logit
USA,water_td_pri_W,water_td_pri_W,relative-cost-logit
USA,water_td_irr_PacArctic_W,water_td_irr_PacArctic_W,relative-cost-logit
USA,water_td_irr_NelsonR_W,water_td_irr_NelsonR_W,relative-cost-logit
USA,water_td_irr_FraserR_W,water_td_irr_FraserR_W,relative-cost-logit
USA,water_td_irr_MexCstNW_W,water_td_irr_MexCstNW_W,relative-cost-logit
USA,water_td_irr_Caribbean_W,water_td_irr_Caribbean_W,relative-cost-logit
USA,water_td_irr_California_W,water_td_irr_California_W,relative-cost-logit
USA,water_td_irr_MissppRN_W,water_td_irr_MissppRN_W,relative-cost-logit
USA,water_td_irr_MissppRS_W,water_td_irr_MissppRS_W,relative-cost-logit
USA,water_td_irr_UsaColoRN_W,water_td_irr_UsaColoRN_W,relative-cost-logit
USA,water_td_irr_UsaColoRS_W,water_td_irr_UsaColoRS_W,relative-cost-logit
USA,water_td_irr_GreatBasin_W,water_td_irr_GreatBasin_W,relative-cost-logit
USA,water_td_irr_MissouriR_W,water_td_irr_MissouriR_W,relative-cost-logit
USA,water_td_irr_ArkWhtRedR_W,water_td_irr_ArkWhtRedR_W,relative-cost-logit
USA,water_td_irr_TexasCst_W,water_td_irr_TexasCst_W,relative-cost-logit
USA,water_td_irr_UsaCstSE_W,water_td_irr_UsaCstSE_W,relative-cost-logit
USA,water_td_irr_GreatLakes_W,water_td_irr_GreatLakes_W,relative-cost-logit
USA,water_td_irr_OhioR_W,water_td_irr_OhioR_W,relative-cost-logit
USA,water_td_irr_UsaPacNW_W,water_td_irr_UsaPacNW_W,relative-cost-logit
USA,water_td_irr_TennR_W,water_td_irr_TennR_W,relative-cost-logit
USA,water_td_irr_RioGrande_W,water_td_irr_RioGrande_W,relative-cost-logit
USA,water_td_irr_UsaCstNE_W,water_td_irr_UsaCstNE_W,relative-cost-logit
USA,water_td_irr_UsaCstE_W,water_td_irr_UsaCstE_W,relative-cost-logit
Africa_Eastern,water_td_dom_C,water_td_dom_C,relative-cost-logit
Africa_Eastern,water_td_elec_C,water_td_elec_C,relative-cost-logit
Africa_Eastern,water_td_an_C,water_td_an_C,relative-cost-logit
Africa_Eastern,water_td_ind_C,water_td_ind_C,relative-cost-logit
Africa_Eastern,water_td_pri_C,water_td_pri_C,relative-cost-logit
Africa_Eastern,water_td_irr_NileR_C,water_td_irr_NileR_C,relative-cost-logit
Africa_Eastern,water_td_irr_AfrCstNE_C,water_td_irr_AfrCstNE_C,relative-cost-logit
Africa_Eastern,water_td_irr_AfrIntN_C,water_td_irr_AfrIntN_C,relative-cost-logit
Africa_Eastern,water_td_irr_LChad_C,water_td_irr_LChad_C,relative-cost-logit
Africa_Eastern,water_td_irr_ShebJubR_C,water_td_irr_ShebJubR_C,relative-cost-logit
Africa_Eastern,water_td_irr_AfrCstE_C,water_td_irr_AfrCstE_C,relative-cost-logit
Africa_Eastern,water_td_irr_Madasgacar_C,water_td_irr_Madasgacar_C,relative-cost-logit
Africa_Eastern,water_td_irr_RiftValley_C,water_td_irr_RiftValley_C,relative-cost-logit
Africa_Eastern,water_td_irr_CongoR_C,water_td_irr_CongoR_C,relative-cost-logit
Africa_Eastern,water_td_dom_W,water_td_dom_W,relative-cost-logit
Africa_Eastern,water_td_elec_W,water_td_elec_W,relative-cost-logit
Africa_Eastern,water_td_an_W,water_td_an_W,relative-cost-logit
Africa_Eastern,water_td_ind_W,water_td_ind_W,relative-cost-logit
Africa_Eastern,water_td_pri_W,water_td_pri_W,relative-cost-logit
Africa_Eastern,water_td_irr_NileR_W,water_td_irr_NileR_W,relative-cost-logit
Africa_Eastern,water_td_irr_AfrCstNE_W,water_td_irr_AfrCstNE_W,relative-cost-logit
Africa_Eastern,water_td_irr_AfrIntN_W,water_td_irr_AfrIntN_W,relative-cost-logit
Africa_Eastern,water_td_irr_LChad_W,water_td_irr_LChad_W,relative-cost-logit
Africa_Eastern,water_td_irr_ShebJubR_W,water_td_irr_ShebJubR_W,relative-cost-logit
Africa_Eastern,water_td_irr_AfrCstE_W,water_td_irr_AfrCstE_W,relative-cost-logit
Africa_Eastern,water_td_irr_Madasgacar_W,water_td_irr_Madasgacar_W,relative-cost-logit
Africa_Eastern,water_td_irr_RiftValley_W,water_td_irr_RiftValley_W,relative-cost-logit
Africa_Eastern,water_td_irr_CongoR_W,water_td_irr_CongoR_W,relative-cost-logit
Africa_Northern,water_td_dom_C,water_td_dom_C,relative-cost-logit
Africa_Northern,water_td_elec_C,water_td_elec_C,relative-cost-logit
Africa_Northern,water_td_an_C,water_td_an_C,relative-cost-logit
Africa_Northern,water_td_ind_C,water_td_ind_C,relative-cost-logit
Africa_Northern,water_td_pri_C,water_td_pri_C,relative-cost-logit
Africa_Northern,water_td_irr_MeditE_C,water_td_irr_MeditE_C,relative-cost-logit
Africa_Northern,water_td_irr_MeditS_C,water_td_irr_MeditS_C,relative-cost-logit
Africa_Northern,water_td_irr_AfrCstNW_C,water_td_irr_AfrCstNW_C,relative-cost-logit
Africa_Northern,water_td_irr_NileR_C,water_td_irr_NileR_C,relative-cost-logit
Africa_Northern,water_td_irr_DeadSea_C,water_td_irr_DeadSea_C,relative-cost-logit
Africa_Northern,water_td_irr_SinaiP_C,water_td_irr_SinaiP_C,relative-cost-logit
Africa_Northern,water_td_irr_AfrCstNE_C,water_td_irr_AfrCstNE_C,relative-cost-logit
Africa_Northern,water_td_irr_AfrIntN_C,water_td_irr_AfrIntN_C,relative-cost-logit
Africa_Northern,water_td_irr_NigerR_C,water_td_irr_NigerR_C,relative-cost-logit
Africa_Northern,water_td_irr_LChad_C,water_td_irr_LChad_C,relative-cost-logit
Africa_Northern,water_td_dom_W,water_td_dom_W,relative-cost-logit
Africa_Northern,water_td_elec_W,water_td_elec_W,relative-cost-logit
Africa_Northern,water_td_an_W,water_td_an_W,relative-cost-logit
Africa_Northern,water_td_ind_W,water_td_ind_W,relative-cost-logit
Africa_Northern,water_td_pri_W,water_td_pri_W,relative-cost-logit
Africa_Northern,water_td_irr_MeditE_W,water_td_irr_MeditE_W,relative-cost-logit
Africa_Northern,water_td_irr_MeditS_W,water_td_irr_MeditS_W,relative-cost-logit
Africa_Northern,water_td_irr_AfrCstNW_W,water_td_irr_AfrCstNW_W,relative-cost-logit
Africa_Northern,water_td_irr_NileR_W,water_td_irr_NileR_W,relative-cost-logit
Africa_Northern,water_td_irr_DeadSea_W,water_td_irr_DeadSea_W,relative-cost-logit
Africa_Northern,water_td_irr_SinaiP_W,water_td_irr_SinaiP_W,relative-cost-logit
Africa_Northern,water_td_irr_AfrCstNE_W,water_td_irr_AfrCstNE_W,relative-cost-logit
Africa_Northern,water_td_irr_AfrIntN_W,water_td_irr_AfrIntN_W,relative-cost-logit
Africa_Northern,water_td_irr_NigerR_W,water_td_irr_NigerR_W,relative-cost-logit
Africa_Northern,water_td_irr_LChad_W,water_td_irr_LChad_W,relative-cost-logit
Africa_Southern,water_td_dom_C,water_td_dom_C,relative-cost-logit
Africa_Southern,water_td_elec_C,water_td_elec_C,relative-cost-logit
Africa_Southern,water_td_an_C,water_td_an_C,relative-cost-logit
Africa_Southern,water_td_ind_C,water_td_ind_C,relative-cost-logit
Africa_Southern,water_td_pri_C,water_td_pri_C,relative-cost-logit
Africa_Southern,water_td_irr_NileR_C,water_td_irr_NileR_C,relative-cost-logit
Africa_Southern,water_td_irr_GuineaGulf_C,water_td_irr_GuineaGulf_C,relative-cost-logit
Africa_Southern,water_td_irr_AfrCstE_C,water_td_irr_AfrCstE_C,relative-cost-logit
Africa_Southern,water_td_irr_RiftValley_C,water_td_irr_RiftValley_C,relative-cost-logit
Africa_Southern,water_td_irr_AngolaCst_C,water_td_irr_AngolaCst_C,relative-cost-logit
Africa_Southern,water_td_irr_CongoR_C,water_td_irr_CongoR_C,relative-cost-logit
Africa_Southern,water_td_irr_ZambeziR_C,water_td_irr_ZambeziR_C,relative-cost-logit
Africa_Southern,water_td_irr_AfrCstSE_C,water_td_irr_AfrCstSE_C,relative-cost-logit
Africa_Southern,water_td_irr_OrangeR_C,water_td_irr_OrangeR_C,relative-cost-logit
Africa_Southern,water_td_irr_AfrCstSW_C,water_td_irr_AfrCstSW_C,relative-cost-logit
Africa_Southern,water_td_irr_AfrIntS_C,water_td_irr_AfrIntS_C,relative-cost-logit
Africa_Southern,water_td_irr_AfrCstS_C,water_td_irr_AfrCstS_C,relative-cost-logit
