INPUT_TABLE
Variable ID
tranSubsector_absolute-cost-logit

region,supplysector,tranSubsector,logit.type
USA,trn_aviation_intl,International Aviation,absolute-cost-logit
USA,trn_freight,Domestic Ship,absolute-cost-logit
USA,trn_freight,Freight Rail,absolute-cost-logit
USA,trn_freight_road,Truck (>12t),absolute-cost-logit
USA,trn_freight_road,Truck (0-2.7t),absolute-cost-logit
USA,trn_freight_road,Truck (2.7-4.5t),absolute-cost-logit
USA,trn_freight_road,Truck (4.5-12t),absolute-cost-logit
USA,trn_pass,Cycle,absolute-cost-logit
USA,trn_pass,Domestic Aviation,absolute-cost-logit
USA,trn_pass,HSR,absolute-cost-logit
USA,trn_pass,Passenger Rail,absolute-cost-logit
USA,trn_pass,Walk,absolute-cost-logit
USA,trn_pass_road,Bus,absolute-cost-logit
USA,trn_pass_road_LDV_2W,Motorcycle (>250cc),absolute-cost-logit
USA,trn_pass_road_LDV_4W,Compact Car,absolute-cost-logit
USA,trn_pass_road_LDV_4W,Large Car,absolute-cost-logit
USA,trn_pass_road_LDV_4W,Light Truck and SUV,absolute-cost-logit
USA,trn_pass_road_LDV_4W,Midsize Car,absolute-cost-logit
USA,trn_shipping_intl,International Ship,absolute-cost-logit
USA,trn_pass,road,absolute-cost-logit
USA,trn_pass_road,LDV,absolute-cost-logit
USA,trn_pass_road_LDV,4W,absolute-cost-logit
USA,trn_pass_road_LDV,2W,absolute-cost-logit
USA,trn_freight,road,absolute-cost-logit
Africa_Eastern,trn_aviation_intl,International Aviation,absolute-cost-logit
Africa_Eastern,trn_freight,Domestic Ship,absolute-cost-logit
Africa_Eastern,trn_freight,Freight Rail,absolute-cost-logit
Africa_Eastern,trn_freight_road,Truck (0-2t),absolute-cost-logit
Africa_Eastern,trn_freight_road,Truck (2-5t),absolute-cost-logit
Africa_Eastern,trn_freight_road,Truck (5-9t),absolute-cost-logit
Africa_Eastern,trn_freight_road,Truck (9-16t),absolute-cost-logit
Africa_Eastern,trn_pass,Cycle,absolute-cost-logit
Africa_Eastern,trn_pass,Domestic Aviation,absolute-cost-logit
Africa_Eastern,trn_pass,HSR,absolute-cost-logit
Africa_Eastern,trn_pass,Passenger Rail,absolute-cost-logit
Africa_Eastern,trn_pass,Walk,absolute-cost-logit
Africa_Eastern,trn_pass_road,Bus,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV,Three-Wheeler,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV_4W,Compact Car,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV_4W,Mini Car,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV_4W,Multipurpose Vehicle,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV_4W,Subcompact Car,absolute-cost-logit
Africa_Eastern,trn_shipping_intl,International Ship,absolute-cost-logit
Africa_Eastern,trn_pass,road,absolute-cost-logit
Africa_Eastern,trn_pass_road,LDV,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV,4W,absolute-cost-logit
Africa_Eastern,trn_pass_road_LDV,2W,absolute-cost-logit
Africa_Eastern,trn_freight,road,absolute-cost-logit
Africa_Northern,trn_aviation_intl,International Aviation,absolute-cost-logit
Africa_Northern,trn_freight,Domestic Ship,absolute-cost-logit
Africa_Northern,trn_freight,Freight Rail,absolute-cost-logit
Africa_Northern,trn_freight_road,Truck (0-2t),absolute-cost-logit
Africa_Northern,trn_freight_road,Truck (2-5t),absolute-cost-logit
Africa_Northern,trn_freight_road,Truck (5-9t),absolute-cost-logit
Africa_Northern,trn_freight_road,Truck (9-16t),absolute-cost-logit
Africa_Northern,trn_pass,Cycle,absolute-cost-logit
Africa_Northern,trn_pass,Domestic Aviation,absolute-cost-logit
Africa_Northern,trn_pass,HSR,absolute-cost-logit
Africa_Northern,trn_pass,Passenger Rail,absolute-cost-logit
Africa_Northern,trn_pass,Walk,absolute-cost-logit
Africa_Northern,trn_pass_road,Bus,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV,Three-Wheeler,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Northern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Northern,trn_pass_road_LDV_4W,Compact Car,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV_4W,Mini Car,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV_4W,Multipurpose Vehicle,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV_4W,Subcompact Car,absolute-cost-logit
Africa_Northern,trn_shipping_intl,International Ship,absolute-cost-logit
Africa_Northern,trn_pass,road,absolute-cost-logit
Africa_Northern,trn_pass_road,LDV,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV,4W,absolute-cost-logit
Africa_Northern,trn_pass_road_LDV,2W,absolute-cost-logit
Africa_Northern,trn_freight,road,absolute-cost-logit
Africa_Southern,trn_aviation_intl,International Aviation,absolute-cost-logit
Africa_Southern,trn_freight,Domestic Ship,absolute-cost-logit
Africa_Southern,trn_freight,Freight Rail,absolute-cost-logit
Africa_Southern,trn_freight_road,Truck (0-2t),absolute-cost-logit
Africa_Southern,trn_freight_road,Truck (2-5t),absolute-cost-logit
Africa_Southern,trn_freight_road,Truck (5-9t),absolute-cost-logit
Africa_Southern,trn_freight_road,Truck (9-16t),absolute-cost-logit
Africa_Southern,trn_pass,Cycle,absolute-cost-logit
Africa_Southern,trn_pass,Domestic Aviation,absolute-cost-logit
Africa_Southern,trn_pass,HSR,absolute-cost-logit
Africa_Southern,trn_pass,Passenger Rail,absolute-cost-logit
Africa_Southern,trn_pass,Walk,absolute-cost-logit
Africa_Southern,trn_pass_road,Bus,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV,Three-Wheeler,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Southern,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Southern,trn_pass_road_LDV_4W,Compact Car,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV_4W,Mini Car,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV_4W,Multipurpose Vehicle,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV_4W,Subcompact Car,absolute-cost-logit
Africa_Southern,trn_shipping_intl,International Ship,absolute-cost-logit
Africa_Southern,trn_pass,road,absolute-cost-logit
Africa_Southern,trn_pass_road,LDV,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV,4W,absolute-cost-logit
Africa_Southern,trn_pass_road_LDV,2W,absolute-cost-logit
Africa_Southern,trn_freight,road,absolute-cost-logit
Africa_Western,trn_aviation_intl,International Aviation,absolute-cost-logit
Africa_Western,trn_freight,Domestic Ship,absolute-cost-logit
Africa_Western,trn_freight,Freight Rail,absolute-cost-logit
Africa_Western,trn_freight_road,Truck (0-2t),absolute-cost-logit
Africa_Western,trn_freight_road,Truck (2-5t),absolute-cost-logit
Africa_Western,trn_freight_road,Truck (5-9t),absolute-cost-logit
Africa_Western,trn_freight_road,Truck (9-16t),absolute-cost-logit
Africa_Western,trn_pass,Cycle,absolute-cost-logit
Africa_Western,trn_pass,Domestic Aviation,absolute-cost-logit
Africa_Western,trn_pass,HSR,absolute-cost-logit
Africa_Western,trn_pass,Passenger Rail,absolute-cost-logit
Africa_Western,trn_pass,Walk,absolute-cost-logit
Africa_Western,trn_pass_road,Bus,absolute-cost-logit
Africa_Western,trn_pass_road_LDV,Three-Wheeler,absolute-cost-logit
Africa_Western,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Western,trn_pass_road_LDV_2W,Motorcycle (50-250cc),absolute-cost-logit
Africa_Western,trn_pass_road_LDV_4W,Compact Car,absolute-cost-logit
Africa_Western,trn_pass_road_LDV_4W,Mini Car,absolute-cost-logit
Africa_Western,trn_pass_road_LDV_4W,Multipurpose Vehicle,absolute-cost-logit
Africa_Western,trn_pass_road_LDV_4W,Subcompact Car,absolute-cost-logit
Africa_Western,trn_shipping_intl,International Ship,absolute-cost-logit
Africa_Western,trn_pass,road,absolute-cost-logit
Africa_Western,trn_pass_road,LDV,absolute-cost-logit
Africa_Western,trn_pass_road_LDV,4W,absolute-cost-logit
Africa_Western,trn_pass_road_LDV,2W,absolute-cost-logit
Africa_Western,trn_freight,road,absolute-cost-logit
Australia_NZ,trn_aviation_intl,International Aviation,absolute-cost-logit
Australia_NZ,trn_freight,Domestic Ship,absolute-cost-logit
Australia_NZ,trn_freight,Freight Rail,absolute-cost-logit
Australia_NZ,trn_freight_road,Truck (0-1t),absolute-cost-logit
Australia_NZ,trn_freight_road,Truck (1-6t),absolute-cost-logit
Australia_NZ,trn_freight_road,Truck (6-30t),absolute-cost-logit
Australia_NZ,trn_pass,Cycle,absolute-cost-logit
Australia_NZ,trn_pass,Domestic Aviation,absolute-cost-logit
Australia_NZ,trn_pass,HSR,absolute-cost-logit
Australia_NZ,trn_pass,Passenger Rail,absolute-cost-logit
Australia_NZ,trn_pass,Walk,absolute-cost-logit
Australia_NZ,trn_pass_road,Bus,absolute-cost-logit
Australia_NZ,trn_pass_road_LDV_2W,Motorcycle (>250cc),absolute-cost-logit
Australia_NZ,trn_pass_road_LDV_4W,Compact Car,absolute-cost-logit
Australia_NZ,trn_pass_road_LDV_4W,Large Car,absolute-cost-logit
Australia_NZ,trn_pass_road_LDV_4W,Light Truck and SUV,absolute-cost-logit
Australia_NZ,trn_pass_road_LDV_4W,Midsize Car,absolute-cost-logit
Australia_NZ,trn_shipping_intl,International Ship,absolute-cost-logit
Australia_NZ,trn_pass,road,absolute-cost-logit
Australia_NZ,trn_pass_road,LDV,absolute-cost-logit
Australia_NZ,trn_pass_road_LDV,4W,absolute-cost-logit
