INPUT_TABLE
Variable ID
SubsectorLogit_relative-cost-logit

region,supplysector,subsector,logit.type
USA,cement,cement,relative-cost-logit
USA,process heat cement,biomass,relative-cost-logit
USA,process heat cement,coal,relative-cost-logit
USA,process heat cement,gas,relative-cost-logit
USA,process heat cement,refined liquids,relative-cost-logit
Africa_Eastern,cement,cement,relative-cost-logit
Africa_Eastern,process heat cement,biomass,relative-cost-logit
Africa_Eastern,process heat cement,coal,relative-cost-logit
Africa_Eastern,process heat cement,gas,relative-cost-logit
Africa_Eastern,process heat cement,refined liquids,relative-cost-logit
Africa_Northern,cement,cement,relative-cost-logit
Africa_Northern,process heat cement,biomass,relative-cost-logit
Africa_Northern,process heat cement,coal,relative-cost-logit
Africa_Northern,process heat cement,gas,relative-cost-logit
Africa_Northern,process heat cement,refined liquids,relative-cost-logit
Africa_Southern,cement,cement,relative-cost-logit
Africa_Southern,process heat cement,biomass,relative-cost-logit
Africa_Southern,process heat cement,coal,relative-cost-logit
Africa_Southern,process heat cement,gas,relative-cost-logit
Africa_Southern,process heat cement,refined liquids,relative-cost-logit
Africa_Western,cement,cement,relative-cost-logit
Africa_Western,process heat cement,biomass,relative-cost-logit
Africa_Western,process heat cement,coal,relative-cost-logit
Africa_Western,process heat cement,gas,relative-cost-logit
Africa_Western,process heat cement,refined liquids,relative-cost-logit
Australia_NZ,cement,cement,relative-cost-logit
Australia_NZ,process heat cement,biomass,relative-cost-logit
Australia_NZ,process heat cement,coal,relative-cost-logit
Australia_NZ,process heat cement,gas,relative-cost-logit
Australia_NZ,process heat cement,refined liquids,relative-cost-logit
Brazil,cement,cement,relative-cost-logit
Brazil,process heat cement,biomass,relative-cost-logit
Brazil,process heat cement,coal,relative-cost-logit
Brazil,process heat cement,gas,relative-cost-logit
Brazil,process heat cement,refined liquids,relative-cost-logit
Canada,cement,cement,relative-cost-logit
Canada,process heat cement,biomass,relative-cost-logit
Canada,process heat cement,coal,relative-cost-logit
Canada,process heat cement,gas,relative-cost-logit
Canada,process heat cement,refined liquids,relative-cost-logit
Central America and Caribbean,cement,cement,relative-cost-logit
Central America and Caribbean,process heat cement,biomass,relative-cost-logit
Central America and Caribbean,process heat cement,coal,relative-cost-logit
Central America and Caribbean,process heat cement,gas,relative-cost-logit
Central America and Caribbean,process heat cement,refined liquids,relative-cost-logit
Central Asia,cement,cement,relative-cost-logit
Central Asia,process heat cement,biomass,relative-cost-logit
Central Asia,process heat cement,coal,relative-cost-logit
Central Asia,process heat cement,gas,relative-cost-logit
Central Asia,process heat cement,refined liquids,relative-cost-logit
China,cement,cement,relative-cost-logit
China,process heat cement,biomass,relative-cost-logit
China,process heat cement,coal,relative-cost-logit
China,process heat cement,gas,relative-cost-logit
China,process heat cement,refined liquids,relative-cost-logit
EU-12,cement,cement,relative-cost-logit
EU-12,process heat cement,biomass,relative-cost-logit
EU-12,process heat cement,coal,relative-cost-logit
EU-12,process heat cement,gas,relative-cost-logit
EU-12,process heat cement,refined liquids,relative-cost-logit
EU-15,cement,cement,relative-cost-logit
EU-15,process heat cement,biomass,relative-cost-logit
EU-15,process heat cement,coal,relative-cost-logit
EU-15,process heat cement,gas,relative-cost-logit
EU-15,process heat cement,refined liquids,relative-cost-logit
Europe_Eastern,cement,cement,relative-cost-logit
Europe_Eastern,process heat cement,biomass,relative-cost-logit
Europe_Eastern,process heat cement,coal,relative-cost-logit
