INPUT_TABLE
Variable ID
Supplysector_relative-cost-logit

region,supplysector,logit.type
USA,backup_electricity,relative-cost-logit
USA,csp_backup,relative-cost-logit
USA,delivered biomass,relative-cost-logit
USA,delivered coal,relative-cost-logit
USA,electricity_net_ownuse,relative-cost-logit
USA,elect_td_bld,relative-cost-logit
USA,elect_td_ind,relative-cost-logit
USA,elect_td_trn,relative-cost-logit
USA,gas pipeline,relative-cost-logit
USA,wholesale gas,relative-cost-logit
USA,delivered gas,relative-cost-logit
USA,refined liquids enduse,relative-cost-logit
USA,refined liquids industrial,relative-cost-logit
Africa_Eastern,backup_electricity,relative-cost-logit
Africa_Eastern,csp_backup,relative-cost-logit
Africa_Eastern,delivered biomass,relative-cost-logit
Africa_Eastern,delivered coal,relative-cost-logit
Africa_Eastern,electricity_net_ownuse,relative-cost-logit
Africa_Eastern,elect_td_bld,relative-cost-logit
Africa_Eastern,elect_td_ind,relative-cost-logit
Africa_Eastern,elect_td_trn,relative-cost-logit
Africa_Eastern,gas pipeline,relative-cost-logit
Africa_Eastern,wholesale gas,relative-cost-logit
Africa_Eastern,delivered gas,relative-cost-logit
Africa_Eastern,refined liquids enduse,relative-cost-logit
Africa_Eastern,refined liquids industrial,relative-cost-logit
Africa_Northern,backup_electricity,relative-cost-logit
Africa_Northern,csp_backup,relative-cost-logit
Africa_Northern,delivered biomass,relative-cost-logit
Africa_Northern,delivered coal,relative-cost-logit
Africa_Northern,electricity_net_ownuse,relative-cost-logit
Africa_Northern,elect_td_bld,relative-cost-logit
Africa_Northern,elect_td_ind,relative-cost-logit
Africa_Northern,elect_td_trn,relative-cost-logit
Africa_Northern,gas pipeline,relative-cost-logit
Africa_Northern,wholesale gas,relative-cost-logit
Africa_Northern,delivered gas,relative-cost-logit
Africa_Northern,refined liquids enduse,relative-cost-logit
Africa_Northern,refined liquids industrial,relative-cost-logit
Africa_Southern,backup_electricity,relative-cost-logit
Africa_Southern,csp_backup,relative-cost-logit
Africa_Southern,delivered biomass,relative-cost-logit
Africa_Southern,delivered coal,relative-cost-logit
Africa_Southern,electricity_net_ownuse,relative-cost-logit
Africa_Southern,elect_td_bld,relative-cost-logit
Africa_Southern,elect_td_ind,relative-cost-logit
Africa_Southern,elect_td_trn,relative-cost-logit
Africa_Southern,gas pipeline,relative-cost-logit
Africa_Southern,wholesale gas,relative-cost-logit
Africa_Southern,delivered gas,relative-cost-logit
Africa_Southern,refined liquids enduse,relative-cost-logit
Africa_Southern,refined liquids industrial,relative-cost-logit
Africa_Western,backup_electricity,relative-cost-logit
Africa_Western,csp_backup,relative-cost-logit
Africa_Western,delivered biomass,relative-cost-logit
Africa_Western,delivered coal,relative-cost-logit
Africa_Western,electricity_net_ownuse,relative-cost-logit
Africa_Western,elect_td_bld,relative-cost-logit
Africa_Western,elect_td_ind,relative-cost-logit
Africa_Western,elect_td_trn,relative-cost-logit
Africa_Western,gas pipeline,relative-cost-logit
Africa_Western,wholesale gas,relative-cost-logit
Africa_Western,delivered gas,relative-cost-logit
Africa_Western,refined liquids enduse,relative-cost-logit
Africa_Western,refined liquids industrial,relative-cost-logit
Australia_NZ,backup_electricity,relative-cost-logit
Australia_NZ,csp_backup,relative-cost-logit
Australia_NZ,delivered biomass,relative-cost-logit
Australia_NZ,delivered coal,relative-cost-logit
Australia_NZ,electricity_net_ownuse,relative-cost-logit
Australia_NZ,elect_td_bld,relative-cost-logit
Australia_NZ,elect_td_ind,relative-cost-logit
Australia_NZ,elect_td_trn,relative-cost-logit
Australia_NZ,gas pipeline,relative-cost-logit
Australia_NZ,wholesale gas,relative-cost-logit
Australia_NZ,delivered gas,relative-cost-logit
Australia_NZ,refined liquids enduse,relative-cost-logit
Australia_NZ,refined liquids industrial,relative-cost-logit
Brazil,backup_electricity,relative-cost-logit
Brazil,csp_backup,relative-cost-logit
Brazil,delivered biomass,relative-cost-logit
