INPUT_TABLE
Variable ID
SubsectorLogit_relative-cost-logit

region,supplysector,subsector,logit.type
USA,backup_electricity,gas,relative-cost-logit
USA,csp_backup,gas,relative-cost-logit
USA,delivered biomass,delivered biomass,relative-cost-logit
USA,delivered coal,delivered coal,relative-cost-logit
USA,electricity_net_ownuse,electricity_net_ownuse,relative-cost-logit
USA,elect_td_bld,elect_td_bld,relative-cost-logit
USA,elect_td_ind,elect_td_ind,relative-cost-logit
USA,elect_td_trn,elect_td_trn,relative-cost-logit
USA,gas pipeline,gas pipeline,relative-cost-logit
USA,wholesale gas,wholesale gas,relative-cost-logit
USA,delivered gas,delivered gas,relative-cost-logit
USA,refined liquids enduse,refined liquids enduse,relative-cost-logit
USA,refined liquids industrial,refined liquids industrial,relative-cost-logit
Africa_Eastern,backup_electricity,gas,relative-cost-logit
Africa_Eastern,csp_backup,gas,relative-cost-logit
Africa_Eastern,delivered biomass,delivered biomass,relative-cost-logit
Africa_Eastern,delivered coal,delivered coal,relative-cost-logit
Africa_Eastern,electricity_net_ownuse,electricity_net_ownuse,relative-cost-logit
Africa_Eastern,elect_td_bld,elect_td_bld,relative-cost-logit
Africa_Eastern,elect_td_ind,elect_td_ind,relative-cost-logit
Africa_Eastern,elect_td_trn,elect_td_trn,relative-cost-logit
Africa_Eastern,gas pipeline,gas pipeline,relative-cost-logit
Africa_Eastern,wholesale gas,wholesale gas,relative-cost-logit
Africa_Eastern,delivered gas,delivered gas,relative-cost-logit
Africa_Eastern,refined liquids enduse,refined liquids enduse,relative-cost-logit
Africa_Eastern,refined liquids industrial,refined liquids industrial,relative-cost-logit
Africa_Northern,backup_electricity,gas,relative-cost-logit
Africa_Northern,csp_backup,gas,relative-cost-logit
Africa_Northern,delivered biomass,delivered biomass,relative-cost-logit
Africa_Northern,delivered coal,delivered coal,relative-cost-logit
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,relative-cost-logit
Africa_Northern,elect_td_bld,elect_td_bld,relative-cost-logit
Africa_Northern,elect_td_ind,elect_td_ind,relative-cost-logit
Africa_Northern,elect_td_trn,elect_td_trn,relative-cost-logit
Africa_Northern,gas pipeline,gas pipeline,relative-cost-logit
Africa_Northern,wholesale gas,wholesale gas,relative-cost-logit
Africa_Northern,delivered gas,delivered gas,relative-cost-logit
