INPUT_TABLE
Variable ID
SubsectorLogit_relative-cost-logit

region,supplysector,subsector,logit.type
USA,transportation,coal,relative-cost-logit
USA,transportation,electricity,relative-cost-logit
USA,transportation,hydrogen,relative-cost-logit
USA,transportation,gas,relative-cost-logit
USA,transportation,refined liquids,relative-cost-logit
Africa_Eastern,transportation,coal,relative-cost-logit
Africa_Eastern,transportation,electricity,relative-cost-logit
Africa_Eastern,transportation,hydrogen,relative-cost-logit
Africa_Eastern,transportation,gas,relative-cost-logit
Africa_Eastern,transportation,refined liquids,relative-cost-logit
Africa_Northern,transportation,coal,relative-cost-logit
Africa_Northern,transportation,electricity,relative-cost-logit
Africa_Northern,transportation,hydrogen,relative-cost-logit
Africa_Northern,transportation,gas,relative-cost-logit
Africa_Northern,transportation,refined liquids,relative-cost-logit
Africa_Southern,transportation,coal,relative-cost-logit
Africa_Southern,transportation,electricity,relative-cost-logit
Africa_Southern,transportation,hydrogen,relative-cost-logit
Africa_Southern,transportation,gas,relative-cost-logit
Africa_Southern,transportation,refined liquids,relative-cost-logit
Africa_Western,transportation,coal,relative-cost-logit
Africa_Western,transportation,electricity,relative-cost-logit
Africa_Western,transportation,hydrogen,relative-cost-logit
Africa_Western,transportation,gas,relative-cost-logit
Africa_Western,transportation,refined liquids,relative-cost-logit
Australia_NZ,transportation,coal,relative-cost-logit
Australia_NZ,transportation,electricity,relative-cost-logit
Australia_NZ,transportation,hydrogen,relative-cost-logit
Australia_NZ,transportation,gas,relative-cost-logit
Australia_NZ,transportation,refined liquids,relative-cost-logit
Brazil,transportation,coal,relative-cost-logit
Brazil,transportation,electricity,relative-cost-logit
Brazil,transportation,hydrogen,relative-cost-logit
Brazil,transportation,gas,relative-cost-logit
Brazil,transportation,refined liquids,relative-cost-logit
Canada,transportation,coal,relative-cost-logit
Canada,transportation,electricity,relative-cost-logit
Canada,transportation,hydrogen,relative-cost-logit
Canada,transportation,gas,relative-cost-logit
Canada,transportation,refined liquids,relative-cost-logit
Central America and Caribbean,transportation,coal,relative-cost-logit
Central America and Caribbean,transportation,electricity,relative-cost-logit
Central America and Caribbean,transportation,hydrogen,relative-cost-logit
Central America and Caribbean,transportation,gas,relative-cost-logit
Central America and Caribbean,transportation,refined liquids,relative-cost-logit
Central Asia,transportation,coal,relative-cost-logit
Central Asia,transportation,electricity,relative-cost-logit
Central Asia,transportation,hydrogen,relative-cost-logit
Central Asia,transportation,gas,relative-cost-logit
Central Asia,transportation,refined liquids,relative-cost-logit
China,transportation,coal,relative-cost-logit
China,transportation,electricity,relative-cost-logit
China,transportation,hydrogen,relative-cost-logit
China,transportation,gas,relative-cost-logit
