INPUT_TABLE
Variable ID
Supplysector_relative-cost-logit

region,supplysector,logit.type
USA,trn_aviation_intl,relative-cost-logit
USA,trn_freight,relative-cost-logit
USA,trn_freight_road,relative-cost-logit
USA,trn_pass,relative-cost-logit
USA,trn_pass_road,relative-cost-logit
USA,trn_pass_road_LDV,relative-cost-logit
USA,trn_pass_road_LDV_2W,relative-cost-logit
USA,trn_shipping_intl,relative-cost-logit
Africa_Eastern,trn_aviation_intl,relative-cost-logit
Africa_Eastern,trn_freight,relative-cost-logit
Africa_Eastern,trn_freight_road,relative-cost-logit
Africa_Eastern,trn_pass,relative-cost-logit
Africa_Eastern,trn_pass_road,relative-cost-logit
Africa_Eastern,trn_pass_road_LDV,relative-cost-logit
Africa_Eastern,trn_pass_road_LDV_2W,relative-cost-logit
Africa_Eastern,trn_shipping_intl,relative-cost-logit
Africa_Northern,trn_aviation_intl,relative-cost-logit
Africa_Northern,trn_freight,relative-cost-logit
Africa_Northern,trn_freight_road,relative-cost-logit
Africa_Northern,trn_pass,relative-cost-logit
Africa_Northern,trn_pass_road,relative-cost-logit
Africa_Northern,trn_pass_road_LDV,relative-cost-logit
Africa_Northern,trn_pass_road_LDV_2W,relative-cost-logit
Africa_Northern,trn_shipping_intl,relative-cost-logit
Africa_Southern,trn_aviation_intl,relative-cost-logit
Africa_Southern,trn_freight,relative-cost-logit
Africa_Southern,trn_freight_road,relative-cost-logit
Africa_Southern,trn_pass,relative-cost-logit
Africa_Southern,trn_pass_road,relative-cost-logit
Africa_Southern,trn_pass_road_LDV,relative-cost-logit
Africa_Southern,trn_pass_road_LDV_2W,relative-cost-logit
Africa_Southern,trn_shipping_intl,relative-cost-logit
Africa_Western,trn_aviation_intl,relative-cost-logit
Africa_Western,trn_freight,relative-cost-logit
Africa_Western,trn_freight_road,relative-cost-logit
Africa_Western,trn_pass,relative-cost-logit
Africa_Western,trn_pass_road,relative-cost-logit
Africa_Western,trn_pass_road_LDV,relative-cost-logit
Africa_Western,trn_pass_road_LDV_2W,relative-cost-logit
Africa_Western,trn_shipping_intl,relative-cost-logit
Australia_NZ,trn_aviation_intl,relative-cost-logit
Australia_NZ,trn_freight,relative-cost-logit
Australia_NZ,trn_freight_road,relative-cost-logit
Australia_NZ,trn_pass,relative-cost-logit
Australia_NZ,trn_pass_road,relative-cost-logit
Australia_NZ,trn_pass_road_LDV,relative-cost-logit
Australia_NZ,trn_pass_road_LDV_2W,relative-cost-logit
Australia_NZ,trn_shipping_intl,relative-cost-logit
Brazil,trn_aviation_intl,relative-cost-logit
Brazil,trn_freight,relative-cost-logit
Brazil,trn_freight_road,relative-cost-logit
Brazil,trn_pass,relative-cost-logit
Brazil,trn_pass_road,relative-cost-logit
Brazil,trn_pass_road_LDV,relative-cost-logit
Brazil,trn_pass_road_LDV_2W,relative-cost-logit
Brazil,trn_shipping_intl,relative-cost-logit
Canada,trn_aviation_intl,relative-cost-logit
Canada,trn_freight,relative-cost-logit
Canada,trn_freight_road,relative-cost-logit
Canada,trn_pass,relative-cost-logit
Canada,trn_pass_road,relative-cost-logit
Canada,trn_pass_road_LDV,relative-cost-logit
Canada,trn_pass_road_LDV_2W,relative-cost-logit
Canada,trn_shipping_intl,relative-cost-logit
