INPUT_TABLE
Variable ID
MAC

region,supplysector,subsector,stub.technology,year,Non.CO2,mac.control,tax,mac.reduction,market.name
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,0,0.203,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,5,0.469,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,10,0.469,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,15,0.469,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,32,0.469,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,66,0.469,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,129,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,243,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,486,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,1093,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,2064,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,4857,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,7285,0.577,CO2
Africa_Eastern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,12141,0.577,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,0,0.224,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,5,0.371,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,10,0.63,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,15,0.63,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,32,0.63,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,66,0.68,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,129,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,243,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,486,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,1093,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,2064,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,4857,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,7285,0.718,CO2
Africa_Northern,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1975,SF6,Electric Power Systems,12141,0.718,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,0,0.203,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,5,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,10,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,15,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,32,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,66,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,129,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,243,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,486,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,1093,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,2064,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,4857,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,7285,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,12141,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,0,0.203,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,5,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,10,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,15,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,32,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,66,0.469,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,129,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,243,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,486,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,1093,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,2064,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,4857,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,7285,0.577,CO2
Africa_Northern,industrial processes,Al_Mg,Al_Mg,1975,CF4,Aluminum and Magnesium Production,12141,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,0,0.203,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,5,0.469,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,10,0.469,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,15,0.469,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,32,0.469,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,66,0.469,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,129,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,243,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,486,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,1093,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,2064,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,4857,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,7285,0.577,CO2
Africa_Southern,industrial processes,Al_Mg,Al_Mg,1975,C2F6,Aluminum and Magnesium Production,12141,0.577,CO2
