INPUT_TABLE
Variable ID
LN1_Logit_relative-cost-logit

region,LandAllocatorRoot,LandNode1,logit.type
USA,root,UrbanLand_ArkWhtRedR,relative-cost-logit
USA,root,AgroForestLand_ArkWhtRedR,relative-cost-logit
USA,root,UrbanLand_California,relative-cost-logit
USA,root,Tundra_California,relative-cost-logit
USA,root,RockIceDesert_California,relative-cost-logit
USA,root,AgroForestLand_California,relative-cost-logit
USA,root,UrbanLand_Caribbean,relative-cost-logit
USA,root,AgroForestLand_Caribbean,relative-cost-logit
USA,root,AgroForestLand_FraserR,relative-cost-logit
USA,root,UrbanLand_GreatBasin,relative-cost-logit
USA,root,Tundra_GreatBasin,relative-cost-logit
USA,root,RockIceDesert_GreatBasin,relative-cost-logit
USA,root,AgroForestLand_GreatBasin,relative-cost-logit
USA,root,UrbanLand_GreatLakes,relative-cost-logit
USA,root,AgroForestLand_GreatLakes,relative-cost-logit
USA,root,UrbanLand_MexCstNW,relative-cost-logit
USA,root,AgroForestLand_MexCstNW,relative-cost-logit
USA,root,UrbanLand_MissouriR,relative-cost-logit
USA,root,Tundra_MissouriR,relative-cost-logit
USA,root,AgroForestLand_MissouriR,relative-cost-logit
USA,root,UrbanLand_MissppRN,relative-cost-logit
USA,root,AgroForestLand_MissppRN,relative-cost-logit
USA,root,UrbanLand_MissppRS,relative-cost-logit
USA,root,AgroForestLand_MissppRS,relative-cost-logit
USA,root,UrbanLand_NelsonR,relative-cost-logit
USA,root,AgroForestLand_NelsonR,relative-cost-logit
USA,root,UrbanLand_OhioR,relative-cost-logit
USA,root,AgroForestLand_OhioR,relative-cost-logit
USA,root,UrbanLand_PacArctic,relative-cost-logit
USA,root,Tundra_PacArctic,relative-cost-logit
USA,root,RockIceDesert_PacArctic,relative-cost-logit
USA,root,AgroForestLand_PacArctic,relative-cost-logit
USA,root,UrbanLand_RioGrande,relative-cost-logit
USA,root,Tundra_RioGrande,relative-cost-logit
USA,root,RockIceDesert_RioGrande,relative-cost-logit
USA,root,AgroForestLand_RioGrande,relative-cost-logit
USA,root,UrbanLand_TennR,relative-cost-logit
USA,root,AgroForestLand_TennR,relative-cost-logit
USA,root,UrbanLand_TexasCst,relative-cost-logit
USA,root,AgroForestLand_TexasCst,relative-cost-logit
USA,root,UrbanLand_UsaColoRN,relative-cost-logit
USA,root,Tundra_UsaColoRN,relative-cost-logit
USA,root,AgroForestLand_UsaColoRN,relative-cost-logit
USA,root,UrbanLand_UsaColoRS,relative-cost-logit
USA,root,AgroForestLand_UsaColoRS,relative-cost-logit
USA,root,UrbanLand_UsaCstE,relative-cost-logit
USA,root,AgroForestLand_UsaCstE,relative-cost-logit
USA,root,UrbanLand_UsaCstNE,relative-cost-logit
USA,root,AgroForestLand_UsaCstNE,relative-cost-logit
USA,root,UrbanLand_UsaCstSE,relative-cost-logit
USA,root,AgroForestLand_UsaCstSE,relative-cost-logit
USA,root,UrbanLand_UsaPacNW,relative-cost-logit
USA,root,Tundra_UsaPacNW,relative-cost-logit
USA,root,AgroForestLand_UsaPacNW,relative-cost-logit
Africa_Eastern,root,UrbanLand_AfrCstE,relative-cost-logit
Africa_Eastern,root,AgroForestLand_AfrCstE,relative-cost-logit
Africa_Eastern,root,UrbanLand_AfrCstNE,relative-cost-logit
Africa_Eastern,root,RockIceDesert_AfrCstNE,relative-cost-logit
Africa_Eastern,root,AgroForestLand_AfrCstNE,relative-cost-logit
Africa_Eastern,root,UrbanLand_AfrIntN,relative-cost-logit
Africa_Eastern,root,RockIceDesert_AfrIntN,relative-cost-logit
Africa_Eastern,root,AgroForestLand_AfrIntN,relative-cost-logit
Africa_Eastern,root,UrbanLand_CongoR,relative-cost-logit
Africa_Eastern,root,AgroForestLand_CongoR,relative-cost-logit
Africa_Eastern,root,UrbanLand_LChad,relative-cost-logit
Africa_Eastern,root,RockIceDesert_LChad,relative-cost-logit
Africa_Eastern,root,AgroForestLand_LChad,relative-cost-logit
Africa_Eastern,root,UrbanLand_Madasgacar,relative-cost-logit
Africa_Eastern,root,RockIceDesert_Madasgacar,relative-cost-logit
Africa_Eastern,root,AgroForestLand_Madasgacar,relative-cost-logit
Africa_Eastern,root,UrbanLand_NileR,relative-cost-logit
Africa_Eastern,root,RockIceDesert_NileR,relative-cost-logit
Africa_Eastern,root,AgroForestLand_NileR,relative-cost-logit
Africa_Eastern,root,UrbanLand_RiftValley,relative-cost-logit
Africa_Eastern,root,RockIceDesert_RiftValley,relative-cost-logit
Africa_Eastern,root,AgroForestLand_RiftValley,relative-cost-logit
Africa_Eastern,root,UrbanLand_ShebJubR,relative-cost-logit
Africa_Eastern,root,RockIceDesert_ShebJubR,relative-cost-logit
Africa_Eastern,root,AgroForestLand_ShebJubR,relative-cost-logit
Africa_Northern,root,RockIceDesert_AfrCstNE,relative-cost-logit
Africa_Northern,root,AgroForestLand_AfrCstNE,relative-cost-logit
Africa_Northern,root,UrbanLand_AfrCstNW,relative-cost-logit
Africa_Northern,root,RockIceDesert_AfrCstNW,relative-cost-logit
Africa_Northern,root,AgroForestLand_AfrCstNW,relative-cost-logit
Africa_Northern,root,UrbanLand_AfrIntN,relative-cost-logit
Africa_Northern,root,RockIceDesert_AfrIntN,relative-cost-logit
Africa_Northern,root,AgroForestLand_AfrIntN,relative-cost-logit
Africa_Northern,root,RockIceDesert_DeadSea,relative-cost-logit
Africa_Northern,root,AgroForestLand_DeadSea,relative-cost-logit
Africa_Northern,root,UrbanLand_LChad,relative-cost-logit
Africa_Northern,root,RockIceDesert_LChad,relative-cost-logit
Africa_Northern,root,AgroForestLand_LChad,relative-cost-logit
Africa_Northern,root,UrbanLand_MeditE,relative-cost-logit
Africa_Northern,root,RockIceDesert_MeditE,relative-cost-logit
Africa_Northern,root,AgroForestLand_MeditE,relative-cost-logit
Africa_Northern,root,UrbanLand_MeditS,relative-cost-logit
Africa_Northern,root,RockIceDesert_MeditS,relative-cost-logit
Africa_Northern,root,AgroForestLand_MeditS,relative-cost-logit
Africa_Northern,root,UrbanLand_NigerR,relative-cost-logit
Africa_Northern,root,RockIceDesert_NigerR,relative-cost-logit
Africa_Northern,root,AgroForestLand_NigerR,relative-cost-logit
Africa_Northern,root,UrbanLand_NileR,relative-cost-logit
Africa_Northern,root,RockIceDesert_NileR,relative-cost-logit
Africa_Northern,root,AgroForestLand_NileR,relative-cost-logit
Africa_Northern,root,UrbanLand_SinaiP,relative-cost-logit
Africa_Northern,root,RockIceDesert_SinaiP,relative-cost-logit
Africa_Northern,root,AgroForestLand_SinaiP,relative-cost-logit
Africa_Southern,root,UrbanLand_AfrCstE,relative-cost-logit
Africa_Southern,root,RockIceDesert_AfrCstE,relative-cost-logit
Africa_Southern,root,AgroForestLand_AfrCstE,relative-cost-logit
Africa_Southern,root,UrbanLand_AfrCstS,relative-cost-logit
Africa_Southern,root,RockIceDesert_AfrCstS,relative-cost-logit
Africa_Southern,root,AgroForestLand_AfrCstS,relative-cost-logit
Africa_Southern,root,UrbanLand_AfrCstSE,relative-cost-logit
Africa_Southern,root,RockIceDesert_AfrCstSE,relative-cost-logit
Africa_Southern,root,AgroForestLand_AfrCstSE,relative-cost-logit
Africa_Southern,root,UrbanLand_AfrCstSW,relative-cost-logit
Africa_Southern,root,RockIceDesert_AfrCstSW,relative-cost-logit
Africa_Southern,root,AgroForestLand_AfrCstSW,relative-cost-logit
Africa_Southern,root,UrbanLand_AfrIntS,relative-cost-logit
Africa_Southern,root,RockIceDesert_AfrIntS,relative-cost-logit
Africa_Southern,root,AgroForestLand_AfrIntS,relative-cost-logit
Africa_Southern,root,UrbanLand_AngolaCst,relative-cost-logit
Africa_Southern,root,RockIceDesert_AngolaCst,relative-cost-logit
Africa_Southern,root,AgroForestLand_AngolaCst,relative-cost-logit
Africa_Southern,root,UrbanLand_CongoR,relative-cost-logit
Africa_Southern,root,RockIceDesert_CongoR,relative-cost-logit
Africa_Southern,root,AgroForestLand_CongoR,relative-cost-logit
Africa_Southern,root,UrbanLand_GuineaGulf,relative-cost-logit
Africa_Southern,root,AgroForestLand_GuineaGulf,relative-cost-logit
Africa_Southern,root,UrbanLand_LimpopoR,relative-cost-logit
Africa_Southern,root,AgroForestLand_LimpopoR,relative-cost-logit
Africa_Southern,root,UrbanLand_NileR,relative-cost-logit
Africa_Southern,root,RockIceDesert_NileR,relative-cost-logit
Africa_Southern,root,AgroForestLand_NileR,relative-cost-logit
Africa_Southern,root,UrbanLand_OrangeR,relative-cost-logit
Africa_Southern,root,RockIceDesert_OrangeR,relative-cost-logit
Africa_Southern,root,AgroForestLand_OrangeR,relative-cost-logit
Africa_Southern,root,UrbanLand_RiftValley,relative-cost-logit
Africa_Southern,root,RockIceDesert_RiftValley,relative-cost-logit
Africa_Southern,root,AgroForestLand_RiftValley,relative-cost-logit
Africa_Southern,root,UrbanLand_ZambeziR,relative-cost-logit
Africa_Southern,root,RockIceDesert_ZambeziR,relative-cost-logit
Africa_Southern,root,AgroForestLand_ZambeziR,relative-cost-logit
Africa_Western,root,UrbanLand_AfrCstNW,relative-cost-logit
Africa_Western,root,RockIceDesert_AfrCstNW,relative-cost-logit
Africa_Western,root,AgroForestLand_AfrCstNW,relative-cost-logit
Africa_Western,root,UrbanLand_AfrCstW,relative-cost-logit
Africa_Western,root,RockIceDesert_AfrCstW,relative-cost-logit
Africa_Western,root,AgroForestLand_AfrCstW,relative-cost-logit
Africa_Western,root,UrbanLand_AfrIntN,relative-cost-logit
Africa_Western,root,RockIceDesert_AfrIntN,relative-cost-logit
Africa_Western,root,AgroForestLand_AfrIntN,relative-cost-logit
Africa_Western,root,UrbanLand_CongoR,relative-cost-logit
Africa_Western,root,RockIceDesert_CongoR,relative-cost-logit
Africa_Western,root,AgroForestLand_CongoR,relative-cost-logit
Africa_Western,root,UrbanLand_GuineaGulf,relative-cost-logit
Africa_Western,root,RockIceDesert_GuineaGulf,relative-cost-logit
Africa_Western,root,AgroForestLand_GuineaGulf,relative-cost-logit
Africa_Western,root,UrbanLand_LChad,relative-cost-logit
Africa_Western,root,RockIceDesert_LChad,relative-cost-logit
Africa_Western,root,AgroForestLand_LChad,relative-cost-logit
Africa_Western,root,UrbanLand_NigerR,relative-cost-logit
Africa_Western,root,RockIceDesert_NigerR,relative-cost-logit
Africa_Western,root,AgroForestLand_NigerR,relative-cost-logit
Africa_Western,root,UrbanLand_NileR,relative-cost-logit
Africa_Western,root,RockIceDesert_NileR,relative-cost-logit
Africa_Western,root,AgroForestLand_NileR,relative-cost-logit
Africa_Western,root,UrbanLand_SenegalR,relative-cost-logit
Africa_Western,root,RockIceDesert_SenegalR,relative-cost-logit
Africa_Western,root,AgroForestLand_SenegalR,relative-cost-logit
Africa_Western,root,UrbanLand_VoltaR,relative-cost-logit
Africa_Western,root,RockIceDesert_VoltaR,relative-cost-logit
Africa_Western,root,AgroForestLand_VoltaR,relative-cost-logit
Africa_Western,root,UrbanLand_ZambeziR,relative-cost-logit
Africa_Western,root,AgroForestLand_ZambeziR,relative-cost-logit
Australia_NZ,root,UrbanLand_AusCstE,relative-cost-logit
Australia_NZ,root,AgroForestLand_AusCstE,relative-cost-logit
Australia_NZ,root,UrbanLand_AusCstN,relative-cost-logit
Australia_NZ,root,RockIceDesert_AusCstN,relative-cost-logit
Australia_NZ,root,AgroForestLand_AusCstN,relative-cost-logit
Australia_NZ,root,UrbanLand_AusCstS,relative-cost-logit
Australia_NZ,root,RockIceDesert_AusCstS,relative-cost-logit
Australia_NZ,root,AgroForestLand_AusCstS,relative-cost-logit
Australia_NZ,root,UrbanLand_AusCstW,relative-cost-logit
Australia_NZ,root,RockIceDesert_AusCstW,relative-cost-logit
Australia_NZ,root,AgroForestLand_AusCstW,relative-cost-logit
Australia_NZ,root,UrbanLand_AusInt,relative-cost-logit
Australia_NZ,root,RockIceDesert_AusInt,relative-cost-logit
Australia_NZ,root,AgroForestLand_AusInt,relative-cost-logit
Australia_NZ,root,UrbanLand_MurrayDrlg,relative-cost-logit
Australia_NZ,root,AgroForestLand_MurrayDrlg,relative-cost-logit
Australia_NZ,root,UrbanLand_NewZealand,relative-cost-logit
Australia_NZ,root,Tundra_NewZealand,relative-cost-logit
Australia_NZ,root,RockIceDesert_NewZealand,relative-cost-logit
Australia_NZ,root,AgroForestLand_NewZealand,relative-cost-logit
Australia_NZ,root,UrbanLand_Tasmania,relative-cost-logit
Australia_NZ,root,AgroForestLand_Tasmania,relative-cost-logit
Brazil,root,UrbanLand_AmazonR,relative-cost-logit
Brazil,root,Tundra_AmazonR,relative-cost-logit
Brazil,root,RockIceDesert_AmazonR,relative-cost-logit
Brazil,root,AgroForestLand_AmazonR,relative-cost-logit
Brazil,root,UrbanLand_BrzCstE,relative-cost-logit
Brazil,root,RockIceDesert_BrzCstE,relative-cost-logit
Brazil,root,AgroForestLand_BrzCstE,relative-cost-logit
Brazil,root,UrbanLand_BrzCstN,relative-cost-logit
Brazil,root,RockIceDesert_BrzCstN,relative-cost-logit
Brazil,root,AgroForestLand_BrzCstN,relative-cost-logit
Brazil,root,UrbanLand_BrzCstS,relative-cost-logit
Brazil,root,RockIceDesert_BrzCstS,relative-cost-logit
Brazil,root,AgroForestLand_BrzCstS,relative-cost-logit
Brazil,root,UrbanLand_OrinocoR,relative-cost-logit
Brazil,root,Tundra_OrinocoR,relative-cost-logit
Brazil,root,AgroForestLand_OrinocoR,relative-cost-logit
Brazil,root,UrbanLand_ParnaibaR,relative-cost-logit
Brazil,root,AgroForestLand_ParnaibaR,relative-cost-logit
Brazil,root,UrbanLand_RioLaPlata,relative-cost-logit
Brazil,root,RockIceDesert_RioLaPlata,relative-cost-logit
Brazil,root,AgroForestLand_RioLaPlata,relative-cost-logit
Brazil,root,UrbanLand_SAmerCstNE,relative-cost-logit
Brazil,root,RockIceDesert_SAmerCstNE,relative-cost-logit
Brazil,root,AgroForestLand_SAmerCstNE,relative-cost-logit
Brazil,root,UrbanLand_SaoFrancR,relative-cost-logit
Brazil,root,RockIceDesert_SaoFrancR,relative-cost-logit
Brazil,root,AgroForestLand_SaoFrancR,relative-cost-logit
Brazil,root,UrbanLand_TocantinsR,relative-cost-logit
Brazil,root,RockIceDesert_TocantinsR,relative-cost-logit
Brazil,root,AgroForestLand_TocantinsR,relative-cost-logit
Canada,root,UrbanLand_CanAtl,relative-cost-logit
Canada,root,Tundra_CanAtl,relative-cost-logit
Canada,root,RockIceDesert_CanAtl,relative-cost-logit
Canada,root,AgroForestLand_CanAtl,relative-cost-logit
Canada,root,UrbanLand_ChurchillR,relative-cost-logit
Canada,root,Tundra_ChurchillR,relative-cost-logit
Canada,root,AgroForestLand_ChurchillR,relative-cost-logit
Canada,root,UrbanLand_FraserR,relative-cost-logit
Canada,root,Tundra_FraserR,relative-cost-logit
Canada,root,RockIceDesert_FraserR,relative-cost-logit
Canada,root,AgroForestLand_FraserR,relative-cost-logit
Canada,root,UrbanLand_GreatLakes,relative-cost-logit
Canada,root,AgroForestLand_GreatLakes,relative-cost-logit
Canada,root,UrbanLand_HudsonBay,relative-cost-logit
Canada,root,Tundra_HudsonBay,relative-cost-logit
Canada,root,RockIceDesert_HudsonBay,relative-cost-logit
Canada,root,AgroForestLand_HudsonBay,relative-cost-logit
Canada,root,UrbanLand_Mackenzie,relative-cost-logit
Canada,root,Tundra_Mackenzie,relative-cost-logit
Canada,root,RockIceDesert_Mackenzie,relative-cost-logit
Canada,root,AgroForestLand_Mackenzie,relative-cost-logit
Canada,root,UrbanLand_MissouriR,relative-cost-logit
Canada,root,AgroForestLand_MissouriR,relative-cost-logit
Canada,root,UrbanLand_NelsonR,relative-cost-logit
Canada,root,Tundra_NelsonR,relative-cost-logit
Canada,root,RockIceDesert_NelsonR,relative-cost-logit
Canada,root,AgroForestLand_NelsonR,relative-cost-logit
Canada,root,UrbanLand_NWTerr,relative-cost-logit
Canada,root,Tundra_NWTerr,relative-cost-logit
Canada,root,RockIceDesert_NWTerr,relative-cost-logit
Canada,root,AgroForestLand_NWTerr,relative-cost-logit
Canada,root,UrbanLand_PacArctic,relative-cost-logit
Canada,root,Tundra_PacArctic,relative-cost-logit
Canada,root,RockIceDesert_PacArctic,relative-cost-logit
Canada,root,AgroForestLand_PacArctic,relative-cost-logit
Canada,root,UrbanLand_StLwrncR,relative-cost-logit
Canada,root,Tundra_StLwrncR,relative-cost-logit
Canada,root,AgroForestLand_StLwrncR,relative-cost-logit
Canada,root,UrbanLand_UsaCstNE,relative-cost-logit
Canada,root,AgroForestLand_UsaCstNE,relative-cost-logit
Canada,root,UrbanLand_UsaPacNW,relative-cost-logit
Canada,root,Tundra_UsaPacNW,relative-cost-logit
Canada,root,RockIceDesert_UsaPacNW,relative-cost-logit
Canada,root,AgroForestLand_UsaPacNW,relative-cost-logit
Central America and Caribbean,root,UrbanLand_Caribbean,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_Caribbean,relative-cost-logit
Central America and Caribbean,root,UrbanLand_CntAmer,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_CntAmer,relative-cost-logit
