INPUT_TABLE
Variable ID
LN2_Logit_relative-cost-logit

region,LandAllocatorRoot,LandNode1,LandNode2,logit.type
European Free Trade Association,root,AgroForestLand_RhineR,AgroForest_NonPasture_RhineR,relative-cost-logit
EU-12,root,AgroForestLand_PolandCst,AgroForest_NonPasture_PolandCst,relative-cost-logit
Russia,root,AgroForestLand_PolandCst,AgroForest_NonPasture_PolandCst,relative-cost-logit
EU-12,root,AgroForestLand_NemanR,AgroForest_NonPasture_NemanR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_NemanR,AgroForest_NonPasture_NemanR,relative-cost-logit
Russia,root,AgroForestLand_NemanR,AgroForest_NonPasture_NemanR,relative-cost-logit
EU-15,root,AgroForestLand_ScheldtR,AgroForest_NonPasture_ScheldtR,relative-cost-logit
China,root,AgroForestLand_RusCstSE,AgroForest_NonPasture_RusCstSE,relative-cost-logit
Russia,root,AgroForestLand_RusCstSE,AgroForest_NonPasture_RusCstSE,relative-cost-logit
Southeast Asia,root,AgroForestLand_RusCstSE,AgroForest_NonPasture_RusCstSE,relative-cost-logit
Central Asia,root,AgroForestLand_UralR,AgroForest_NonPasture_UralR,relative-cost-logit
Russia,root,AgroForestLand_UralR,AgroForest_NonPasture_UralR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_DnieperR,AgroForest_NonPasture_DnieperR,relative-cost-logit
Russia,root,AgroForestLand_DnieperR,AgroForest_NonPasture_DnieperR,relative-cost-logit
Canada,root,AgroForestLand_StLwrncR,AgroForest_NonPasture_StLwrncR,relative-cost-logit
EU-15,root,AgroForestLand_FranceCstW,AgroForest_NonPasture_FranceCstW,relative-cost-logit
Central Asia,root,AgroForestLand_Gobi,AgroForest_NonPasture_Gobi,relative-cost-logit
China,root,AgroForestLand_Gobi,AgroForest_NonPasture_Gobi,relative-cost-logit
Russia,root,AgroForestLand_Gobi,AgroForest_NonPasture_Gobi,relative-cost-logit
Central Asia,root,AgroForestLand_AmurR,AgroForest_NonPasture_AmurR,relative-cost-logit
China,root,AgroForestLand_AmurR,AgroForest_NonPasture_AmurR,relative-cost-logit
Russia,root,AgroForestLand_AmurR,AgroForest_NonPasture_AmurR,relative-cost-logit
EU-15,root,AgroForestLand_LoireR,AgroForest_NonPasture_LoireR,relative-cost-logit
Central Asia,root,AgroForestLand_CaspianNE,AgroForest_NonPasture_CaspianNE,relative-cost-logit
Russia,root,AgroForestLand_CaspianNE,AgroForest_NonPasture_CaspianNE,relative-cost-logit
EU-15,root,AgroForestLand_SeineR,AgroForest_NonPasture_SeineR,relative-cost-logit
Central Asia,root,AgroForestLand_BlackSeaN,AgroForest_NonPasture_BlackSeaN,relative-cost-logit
Europe_Eastern,root,AgroForestLand_BlackSeaN,AgroForest_NonPasture_BlackSeaN,relative-cost-logit
Russia,root,AgroForestLand_BlackSeaN,AgroForest_NonPasture_BlackSeaN,relative-cost-logit
Central Asia,root,AgroForestLand_YeniseiR,AgroForest_NonPasture_YeniseiR,relative-cost-logit
Russia,root,AgroForestLand_YeniseiR,AgroForest_NonPasture_YeniseiR,relative-cost-logit
EU-12,root,AgroForestLand_DniesterR,AgroForest_NonPasture_DniesterR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_DniesterR,AgroForest_NonPasture_DniesterR,relative-cost-logit
EU-15,root,AgroForestLand_ItalyCstE,AgroForest_NonPasture_ItalyCstE,relative-cost-logit
Japan,root,AgroForestLand_Japan,AgroForest_NonPasture_Japan,relative-cost-logit
Central Asia,root,AgroForestLand_CaspianE,AgroForest_NonPasture_CaspianE,relative-cost-logit
Middle East,root,AgroForestLand_CaspianE,AgroForest_NonPasture_CaspianE,relative-cost-logit
South Asia,root,AgroForestLand_CaspianE,AgroForest_NonPasture_CaspianE,relative-cost-logit
Europe_Eastern,root,AgroForestLand_DonR,AgroForest_NonPasture_DonR,relative-cost-logit
Russia,root,AgroForestLand_DonR,AgroForest_NonPasture_DonR,relative-cost-logit
EU-12,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,relative-cost-logit
EU-15,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,relative-cost-logit
European Free Trade Association,root,AgroForestLand_DanubeR,AgroForest_NonPasture_DanubeR,relative-cost-logit
EU-12,root,AgroForestLand_AdrBlkSea,AgroForest_NonPasture_AdrBlkSea,relative-cost-logit
EU-15,root,AgroForestLand_AdrBlkSea,AgroForest_NonPasture_AdrBlkSea,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_AdrBlkSea,AgroForest_NonPasture_AdrBlkSea,relative-cost-logit
Central Asia,root,AgroForestLand_ObR,AgroForest_NonPasture_ObR,relative-cost-logit
China,root,AgroForestLand_ObR,AgroForest_NonPasture_ObR,relative-cost-logit
Russia,root,AgroForestLand_ObR,AgroForest_NonPasture_ObR,relative-cost-logit
EU-15,root,AgroForestLand_PoR,AgroForest_NonPasture_PoR,relative-cost-logit
European Free Trade Association,root,AgroForestLand_PoR,AgroForest_NonPasture_PoR,relative-cost-logit
Central Asia,root,AgroForestLand_AmuDaryaR,AgroForest_NonPasture_AmuDaryaR,relative-cost-logit
Pakistan,root,AgroForestLand_AmuDaryaR,AgroForest_NonPasture_AmuDaryaR,relative-cost-logit
South Asia,root,AgroForestLand_AmuDaryaR,AgroForest_NonPasture_AmuDaryaR,relative-cost-logit
EU-15,root,AgroForestLand_ItalyCstW,AgroForest_NonPasture_ItalyCstW,relative-cost-logit
EU-15,root,AgroForestLand_IberiaCst,AgroForest_NonPasture_IberiaCst,relative-cost-logit
EU-15,root,AgroForestLand_FranceCstS,AgroForest_NonPasture_FranceCstS,relative-cost-logit
EU-15,root,AgroForestLand_RhoneR,AgroForest_NonPasture_RhoneR,relative-cost-logit
European Free Trade Association,root,AgroForestLand_RhoneR,AgroForest_NonPasture_RhoneR,relative-cost-logit
EU-15,root,AgroForestLand_MeditIsl,AgroForest_NonPasture_MeditIsl,relative-cost-logit
EU-15,root,AgroForestLand_Gironde,AgroForest_NonPasture_Gironde,relative-cost-logit
South Korea,root,AgroForestLand_Korea,AgroForest_NonPasture_Korea,relative-cost-logit
Southeast Asia,root,AgroForestLand_Korea,AgroForest_NonPasture_Korea,relative-cost-logit
China,root,AgroForestLand_BoHai,AgroForest_NonPasture_BoHai,relative-cost-logit
Southeast Asia,root,AgroForestLand_BoHai,AgroForest_NonPasture_BoHai,relative-cost-logit
EU-15,root,AgroForestLand_SpainCstSE,AgroForest_NonPasture_SpainCstSE,relative-cost-logit
Central Asia,root,AgroForestLand_LBalkash,AgroForest_NonPasture_LBalkash,relative-cost-logit
China,root,AgroForestLand_LBalkash,AgroForest_NonPasture_LBalkash,relative-cost-logit
EU-15,root,AgroForestLand_TiberR,AgroForest_NonPasture_TiberR,relative-cost-logit
Central Asia,root,AgroForestLand_BlackSeaS,AgroForest_NonPasture_BlackSeaS,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_BlackSeaS,AgroForest_NonPasture_BlackSeaS,relative-cost-logit
Russia,root,AgroForestLand_BlackSeaS,AgroForest_NonPasture_BlackSeaS,relative-cost-logit
EU-15,root,AgroForestLand_TagusR,AgroForest_NonPasture_TagusR,relative-cost-logit
Central Asia,root,AgroForestLand_CaspianSW,AgroForest_NonPasture_CaspianSW,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_CaspianSW,AgroForest_NonPasture_CaspianSW,relative-cost-logit
Middle East,root,AgroForestLand_CaspianSW,AgroForest_NonPasture_CaspianSW,relative-cost-logit
Russia,root,AgroForestLand_CaspianSW,AgroForest_NonPasture_CaspianSW,relative-cost-logit
EU-15,root,AgroForestLand_EbroR,AgroForest_NonPasture_EbroR,relative-cost-logit
EU-15,root,AgroForestLand_DouroR,AgroForest_NonPasture_DouroR,relative-cost-logit
Africa_Northern,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,relative-cost-logit
EU-12,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,relative-cost-logit
Middle East,root,AgroForestLand_MeditE,AgroForest_NonPasture_MeditE,relative-cost-logit
Central Asia,root,AgroForestLand_SyrDaryaR,AgroForest_NonPasture_SyrDaryaR,relative-cost-logit
China,root,AgroForestLand_SyrDaryaR,AgroForest_NonPasture_SyrDaryaR,relative-cost-logit
Russia,root,AgroForestLand_SyrDaryaR,AgroForest_NonPasture_SyrDaryaR,relative-cost-logit
China,root,AgroForestLand_ZiyaHe,AgroForest_NonPasture_ZiyaHe,relative-cost-logit
China,root,AgroForestLand_ChinaCst,AgroForest_NonPasture_ChinaCst,relative-cost-logit
China,root,AgroForestLand_HuangHeR,AgroForest_NonPasture_HuangHeR,relative-cost-logit
Africa_Northern,root,AgroForestLand_MeditS,AgroForest_NonPasture_MeditS,relative-cost-logit
EU-15,root,AgroForestLand_GuadianaR,AgroForest_NonPasture_GuadianaR,relative-cost-logit
Middle East,root,AgroForestLand_Iran,AgroForest_NonPasture_Iran,relative-cost-logit
EU-15,root,AgroForestLand_GuadalqR,AgroForest_NonPasture_GuadalqR,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_TigrEuphR,AgroForest_NonPasture_TigrEuphR,relative-cost-logit
Middle East,root,AgroForestLand_TigrEuphR,AgroForest_NonPasture_TigrEuphR,relative-cost-logit
Central Asia,root,AgroForestLand_Tarim,AgroForest_NonPasture_Tarim,relative-cost-logit
China,root,AgroForestLand_Tarim,AgroForest_NonPasture_Tarim,relative-cost-logit
Pakistan,root,AgroForestLand_Tarim,AgroForest_NonPasture_Tarim,relative-cost-logit
Africa_Northern,root,AgroForestLand_AfrCstNW,AgroForest_NonPasture_AfrCstNW,relative-cost-logit
Africa_Western,root,AgroForestLand_AfrCstNW,AgroForest_NonPasture_AfrCstNW,relative-cost-logit
Africa_Eastern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,relative-cost-logit
Africa_Northern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,relative-cost-logit
Africa_Southern,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,relative-cost-logit
Africa_Western,root,AgroForestLand_NileR,AgroForest_NonPasture_NileR,relative-cost-logit
Middle East,root,AgroForestLand_PersianGulf,AgroForest_NonPasture_PersianGulf,relative-cost-logit
China,root,AgroForestLand_IndusR,AgroForest_NonPasture_IndusR,relative-cost-logit
India,root,AgroForestLand_IndusR,AgroForest_NonPasture_IndusR,relative-cost-logit
Pakistan,root,AgroForestLand_IndusR,AgroForest_NonPasture_IndusR,relative-cost-logit
South Asia,root,AgroForestLand_IndusR,AgroForest_NonPasture_IndusR,relative-cost-logit
Middle East,root,AgroForestLand_FarahrudR,AgroForest_NonPasture_FarahrudR,relative-cost-logit
South Asia,root,AgroForestLand_FarahrudR,AgroForest_NonPasture_FarahrudR,relative-cost-logit
Mexico,root,AgroForestLand_MexBaja,AgroForest_NonPasture_MexBaja,relative-cost-logit
China,root,AgroForestLand_Tibet,AgroForest_NonPasture_Tibet,relative-cost-logit
Middle East,root,AgroForestLand_RedSeaE,AgroForest_NonPasture_RedSeaE,relative-cost-logit
Middle East,root,AgroForestLand_ArabianP,AgroForest_NonPasture_ArabianP,relative-cost-logit
Middle East,root,AgroForestLand_DeadSea,AgroForest_NonPasture_DeadSea,relative-cost-logit
USA,root,AgroForestLand_MexCstNW,AgroForest_NonPasture_MexCstNW,relative-cost-logit
Mexico,root,AgroForestLand_MexCstNW,AgroForest_NonPasture_MexCstNW,relative-cost-logit
Middle East,root,AgroForestLand_Helmand,AgroForest_NonPasture_Helmand,relative-cost-logit
Pakistan,root,AgroForestLand_Helmand,AgroForest_NonPasture_Helmand,relative-cost-logit
South Asia,root,AgroForestLand_Helmand,AgroForest_NonPasture_Helmand,relative-cost-logit
Africa_Northern,root,AgroForestLand_SinaiP,AgroForest_NonPasture_SinaiP,relative-cost-logit
Middle East,root,AgroForestLand_SinaiP,AgroForest_NonPasture_SinaiP,relative-cost-logit
Europe_Non_EU,root,AgroForestLand_EJrdnSyr,AgroForest_NonPasture_EJrdnSyr,relative-cost-logit
Middle East,root,AgroForestLand_EJrdnSyr,AgroForest_NonPasture_EJrdnSyr,relative-cost-logit
Africa_Eastern,root,AgroForestLand_AfrCstNE,AgroForest_NonPasture_AfrCstNE,relative-cost-logit
Africa_Northern,root,AgroForestLand_AfrCstNE,AgroForest_NonPasture_AfrCstNE,relative-cost-logit
Middle East,root,AgroForestLand_AfrCstNE,AgroForest_NonPasture_AfrCstNE,relative-cost-logit
USA,root,AgroForestLand_Caribbean,AgroForest_NonPasture_Caribbean,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_Caribbean,AgroForest_NonPasture_Caribbean,relative-cost-logit
Middle East,root,AgroForestLand_HamuMashR,AgroForest_NonPasture_HamuMashR,relative-cost-logit
Pakistan,root,AgroForestLand_HamuMashR,AgroForest_NonPasture_HamuMashR,relative-cost-logit
South Asia,root,AgroForestLand_HamuMashR,AgroForest_NonPasture_HamuMashR,relative-cost-logit
China,root,AgroForestLand_Taiwan,AgroForest_NonPasture_Taiwan,relative-cost-logit
Japan,root,AgroForestLand_Taiwan,AgroForest_NonPasture_Taiwan,relative-cost-logit
Middle East,root,AgroForestLand_ArabianSea,AgroForest_NonPasture_ArabianSea,relative-cost-logit
Pakistan,root,AgroForestLand_ArabianSea,AgroForest_NonPasture_ArabianSea,relative-cost-logit
Mexico,root,AgroForestLand_MexGulf,AgroForest_NonPasture_MexGulf,relative-cost-logit
China,root,AgroForestLand_Yangtze,AgroForest_NonPasture_Yangtze,relative-cost-logit
India,root,AgroForestLand_SabarmatiR,AgroForest_NonPasture_SabarmatiR,relative-cost-logit
Pakistan,root,AgroForestLand_SabarmatiR,AgroForest_NonPasture_SabarmatiR,relative-cost-logit
China,root,AgroForestLand_XunJiang,AgroForest_NonPasture_XunJiang,relative-cost-logit
Southeast Asia,root,AgroForestLand_XunJiang,AgroForest_NonPasture_XunJiang,relative-cost-logit
China,root,AgroForestLand_Hong,AgroForest_NonPasture_Hong,relative-cost-logit
Southeast Asia,root,AgroForestLand_Hong,AgroForest_NonPasture_Hong,relative-cost-logit
China,root,AgroForestLand_GangesR,AgroForest_NonPasture_GangesR,relative-cost-logit
India,root,AgroForestLand_GangesR,AgroForest_NonPasture_GangesR,relative-cost-logit
South Asia,root,AgroForestLand_GangesR,AgroForest_NonPasture_GangesR,relative-cost-logit
Southeast Asia,root,AgroForestLand_GangesR,AgroForest_NonPasture_GangesR,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_YucatanP,AgroForest_NonPasture_YucatanP,relative-cost-logit
Mexico,root,AgroForestLand_YucatanP,AgroForest_NonPasture_YucatanP,relative-cost-logit
China,root,AgroForestLand_SChinaSea,AgroForest_NonPasture_SChinaSea,relative-cost-logit
Southeast Asia,root,AgroForestLand_SChinaSea,AgroForest_NonPasture_SChinaSea,relative-cost-logit
India,root,AgroForestLand_MahiR,AgroForest_NonPasture_MahiR,relative-cost-logit
Mexico,root,AgroForestLand_MexInt,AgroForest_NonPasture_MexInt,relative-cost-logit
Mexico,root,AgroForestLand_MexCstW,AgroForest_NonPasture_MexCstW,relative-cost-logit
India,root,AgroForestLand_BengalBay,AgroForest_NonPasture_BengalBay,relative-cost-logit
South Asia,root,AgroForestLand_BengalBay,AgroForest_NonPasture_BengalBay,relative-cost-logit
Southeast Asia,root,AgroForestLand_BengalBay,AgroForest_NonPasture_BengalBay,relative-cost-logit
India,root,AgroForestLand_TaptiR,AgroForest_NonPasture_TaptiR,relative-cost-logit
India,root,AgroForestLand_BengalW,AgroForest_NonPasture_BengalW,relative-cost-logit
Southeast Asia,root,AgroForestLand_Phlppns,AgroForest_NonPasture_Phlppns,relative-cost-logit
India,root,AgroForestLand_BrahmaniR,AgroForest_NonPasture_BrahmaniR,relative-cost-logit
India,root,AgroForestLand_MahanadiR,AgroForest_NonPasture_MahanadiR,relative-cost-logit
India,root,AgroForestLand_GodavariR,AgroForest_NonPasture_GodavariR,relative-cost-logit
China,root,AgroForestLand_Hainan,AgroForest_NonPasture_Hainan,relative-cost-logit
China,root,AgroForestLand_Mekong,AgroForest_NonPasture_Mekong,relative-cost-logit
Southeast Asia,root,AgroForestLand_Mekong,AgroForest_NonPasture_Mekong,relative-cost-logit
Southeast Asia,root,AgroForestLand_VietnamCst,AgroForest_NonPasture_VietnamCst,relative-cost-logit
China,root,AgroForestLand_Salween,AgroForest_NonPasture_Salween,relative-cost-logit
Southeast Asia,root,AgroForestLand_Salween,AgroForest_NonPasture_Salween,relative-cost-logit
India,root,AgroForestLand_IndCstNE,AgroForest_NonPasture_IndCstNE,relative-cost-logit
India,root,AgroForestLand_IndCstW,AgroForest_NonPasture_IndCstW,relative-cost-logit
Mexico,root,AgroForestLand_Papaloapan,AgroForest_NonPasture_Papaloapan,relative-cost-logit
Mexico,root,AgroForestLand_RioLerma,AgroForest_NonPasture_RioLerma,relative-cost-logit
Mexico,root,AgroForestLand_RioVerde,AgroForest_NonPasture_RioVerde,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_GrijUsuR,AgroForest_NonPasture_GrijUsuR,relative-cost-logit
Mexico,root,AgroForestLand_GrijUsuR,AgroForest_NonPasture_GrijUsuR,relative-cost-logit
Mexico,root,AgroForestLand_RioBalsas,AgroForest_NonPasture_RioBalsas,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_CntAmer,AgroForest_NonPasture_CntAmer,relative-cost-logit
Mexico,root,AgroForestLand_CntAmer,AgroForest_NonPasture_CntAmer,relative-cost-logit
Mexico,root,AgroForestLand_Tehuantpc,AgroForest_NonPasture_Tehuantpc,relative-cost-logit
China,root,AgroForestLand_IrrawaddyR,AgroForest_NonPasture_IrrawaddyR,relative-cost-logit
India,root,AgroForestLand_IrrawaddyR,AgroForest_NonPasture_IrrawaddyR,relative-cost-logit
Southeast Asia,root,AgroForestLand_IrrawaddyR,AgroForest_NonPasture_IrrawaddyR,relative-cost-logit
Southeast Asia,root,AgroForestLand_SittaungR,AgroForest_NonPasture_SittaungR,relative-cost-logit
Southeast Asia,root,AgroForestLand_MalaysiaP,AgroForest_NonPasture_MalaysiaP,relative-cost-logit
India,root,AgroForestLand_KrishnaR,AgroForest_NonPasture_KrishnaR,relative-cost-logit
Africa_Western,root,AgroForestLand_AfrCstW,AgroForest_NonPasture_AfrCstW,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_SAmerCstN,AgroForest_NonPasture_SAmerCstN,relative-cost-logit
South America_Northern,root,AgroForestLand_SAmerCstN,AgroForest_NonPasture_SAmerCstN,relative-cost-logit
Colombia,root,AgroForestLand_SAmerCstN,AgroForest_NonPasture_SAmerCstN,relative-cost-logit
Africa_Eastern,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,relative-cost-logit
Africa_Northern,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,relative-cost-logit
Africa_Western,root,AgroForestLand_AfrIntN,AgroForest_NonPasture_AfrIntN,relative-cost-logit
India,root,AgroForestLand_IndCstE,AgroForest_NonPasture_IndCstE,relative-cost-logit
Southeast Asia,root,AgroForestLand_ChaoPhrR,AgroForest_NonPasture_ChaoPhrR,relative-cost-logit
India,root,AgroForestLand_PennarR,AgroForest_NonPasture_PennarR,relative-cost-logit
Southeast Asia,root,AgroForestLand_ThaiGulf,AgroForest_NonPasture_ThaiGulf,relative-cost-logit
Africa_Western,root,AgroForestLand_NigerR,AgroForest_NonPasture_NigerR,relative-cost-logit
Africa_Eastern,root,AgroForestLand_LChad,AgroForest_NonPasture_LChad,relative-cost-logit
Africa_Western,root,AgroForestLand_LChad,AgroForest_NonPasture_LChad,relative-cost-logit
Africa_Western,root,AgroForestLand_SenegalR,AgroForest_NonPasture_SenegalR,relative-cost-logit
India,root,AgroForestLand_CauveryR,AgroForest_NonPasture_CauveryR,relative-cost-logit
South Asia,root,AgroForestLand_SriLanka,AgroForest_NonPasture_SriLanka,relative-cost-logit
India,root,AgroForestLand_IndCstS,AgroForest_NonPasture_IndCstS,relative-cost-logit
South America_Northern,root,AgroForestLand_OrinocoR,AgroForest_NonPasture_OrinocoR,relative-cost-logit
Colombia,root,AgroForestLand_OrinocoR,AgroForest_NonPasture_OrinocoR,relative-cost-logit
Central America and Caribbean,root,AgroForestLand_ColEcuaCst,AgroForest_NonPasture_ColEcuaCst,relative-cost-logit
South America_Southern,root,AgroForestLand_ColEcuaCst,AgroForest_NonPasture_ColEcuaCst,relative-cost-logit
Colombia,root,AgroForestLand_ColEcuaCst,AgroForest_NonPasture_ColEcuaCst,relative-cost-logit
Indonesia,root,AgroForestLand_IdnE,AgroForest_NonPasture_IdnE,relative-cost-logit
Southeast Asia,root,AgroForestLand_IdnE,AgroForest_NonPasture_IdnE,relative-cost-logit
Indonesia,root,AgroForestLand_BorneoCstN,AgroForest_NonPasture_BorneoCstN,relative-cost-logit
Southeast Asia,root,AgroForestLand_BorneoCstN,AgroForest_NonPasture_BorneoCstN,relative-cost-logit
Africa_Western,root,AgroForestLand_VoltaR,AgroForest_NonPasture_VoltaR,relative-cost-logit
Brazil,root,AgroForestLand_SAmerCstNE,AgroForest_NonPasture_SAmerCstNE,relative-cost-logit
South America_Northern,root,AgroForestLand_SAmerCstNE,AgroForest_NonPasture_SAmerCstNE,relative-cost-logit
Africa_Southern,root,AgroForestLand_GuineaGulf,AgroForest_NonPasture_GuineaGulf,relative-cost-logit
Africa_Western,root,AgroForestLand_GuineaGulf,AgroForest_NonPasture_GuineaGulf,relative-cost-logit
Indonesia,root,AgroForestLand_Sumatra,AgroForest_NonPasture_Sumatra,relative-cost-logit
Indonesia,root,AgroForestLand_Sulawesi,AgroForest_NonPasture_Sulawesi,relative-cost-logit
Indonesia,root,AgroForestLand_Kalimantan,AgroForest_NonPasture_Kalimantan,relative-cost-logit
Southeast Asia,root,AgroForestLand_Kalimantan,AgroForest_NonPasture_Kalimantan,relative-cost-logit
South America_Northern,root,AgroForestLand_MagdalenaR,AgroForest_NonPasture_MagdalenaR,relative-cost-logit
Colombia,root,AgroForestLand_MagdalenaR,AgroForest_NonPasture_MagdalenaR,relative-cost-logit
Indonesia,root,AgroForestLand_IrianJaya,AgroForest_NonPasture_IrianJaya,relative-cost-logit
Southeast Asia,root,AgroForestLand_IrianJaya,AgroForest_NonPasture_IrianJaya,relative-cost-logit
Brazil,root,AgroForestLand_AmazonR,AgroForest_NonPasture_AmazonR,relative-cost-logit
South America_Northern,root,AgroForestLand_AmazonR,AgroForest_NonPasture_AmazonR,relative-cost-logit
South America_Southern,root,AgroForestLand_AmazonR,AgroForest_NonPasture_AmazonR,relative-cost-logit
Colombia,root,AgroForestLand_AmazonR,AgroForest_NonPasture_AmazonR,relative-cost-logit
South America_Southern,root,AgroForestLand_ChileCstS,AgroForest_NonPasture_ChileCstS,relative-cost-logit
Argentina,root,AgroForestLand_ChileCstS,AgroForest_NonPasture_ChileCstS,relative-cost-logit
Africa_Eastern,root,AgroForestLand_ShebJubR,AgroForest_NonPasture_ShebJubR,relative-cost-logit
Africa_Eastern,root,AgroForestLand_AfrCstE,AgroForest_NonPasture_AfrCstE,relative-cost-logit
