INPUT_TABLE
Variable ID
LN2_Logit_relative-cost-logit

region,LandAllocatorRoot,LandNode1,LandNode2,logit.type
Canada,root,AgroForestLand_NWTerr,AgroForest_NonPasture_NWTerr,relative-cost-logit
Russia,root,AgroForestLand_SiberiaW,AgroForest_NonPasture_SiberiaW,relative-cost-logit
Russia,root,AgroForestLand_LenaR,AgroForest_NonPasture_LenaR,relative-cost-logit
Canada,root,AgroForestLand_PacArctic,AgroForest_NonPasture_PacArctic,relative-cost-logit
European Free Trade Association,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,relative-cost-logit
Russia,root,AgroForestLand_ScndnvN,AgroForest_NonPasture_ScndnvN,relative-cost-logit
Russia,root,AgroForestLand_BarentsSea,AgroForest_NonPasture_BarentsSea,relative-cost-logit
Canada,root,AgroForestLand_Mackenzie,AgroForest_NonPasture_Mackenzie,relative-cost-logit
EU-15,root,AgroForestLand_Sweden,AgroForest_NonPasture_Sweden,relative-cost-logit
European Free Trade Association,root,AgroForestLand_Sweden,AgroForest_NonPasture_Sweden,relative-cost-logit
EU-15,root,AgroForestLand_Finland,AgroForest_NonPasture_Finland,relative-cost-logit
Russia,root,AgroForestLand_Finland,AgroForest_NonPasture_Finland,relative-cost-logit
Russia,root,AgroForestLand_DvinaRN,AgroForest_NonPasture_DvinaRN,relative-cost-logit
Canada,root,AgroForestLand_HudsonBay,AgroForest_NonPasture_HudsonBay,relative-cost-logit
EU-15,root,AgroForestLand_Scotland,AgroForest_NonPasture_Scotland,relative-cost-logit
EU-15,root,AgroForestLand_NevaR,AgroForest_NonPasture_NevaR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_NevaR,AgroForest_NonPasture_NevaR,relative-cost-logit
Russia,root,AgroForestLand_NevaR,AgroForest_NonPasture_NevaR,relative-cost-logit
Central Asia,root,AgroForestLand_VolgaR,AgroForest_NonPasture_VolgaR,relative-cost-logit
Russia,root,AgroForestLand_VolgaR,AgroForest_NonPasture_VolgaR,relative-cost-logit
Canada,root,AgroForestLand_CanAtl,AgroForest_NonPasture_CanAtl,relative-cost-logit
EU-12,root,AgroForestLand_BalticSea,AgroForest_NonPasture_BalticSea,relative-cost-logit
Russia,root,AgroForestLand_BalticSea,AgroForest_NonPasture_BalticSea,relative-cost-logit
EU-12,root,AgroForestLand_DnkGrmCst,AgroForest_NonPasture_DnkGrmCst,relative-cost-logit
EU-15,root,AgroForestLand_DnkGrmCst,AgroForest_NonPasture_DnkGrmCst,relative-cost-logit
EU-12,root,AgroForestLand_NarvaR,AgroForest_NonPasture_NarvaR,relative-cost-logit
Russia,root,AgroForestLand_NarvaR,AgroForest_NonPasture_NarvaR,relative-cost-logit
USA,root,AgroForestLand_NelsonR,AgroForest_NonPasture_NelsonR,relative-cost-logit
Canada,root,AgroForestLand_NelsonR,AgroForest_NonPasture_NelsonR,relative-cost-logit
EU-15,root,AgroForestLand_Ireland,AgroForest_NonPasture_Ireland,relative-cost-logit
EU-12,root,AgroForestLand_DaugavaR,AgroForest_NonPasture_DaugavaR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_DaugavaR,AgroForest_NonPasture_DaugavaR,relative-cost-logit
Russia,root,AgroForestLand_DaugavaR,AgroForest_NonPasture_DaugavaR,relative-cost-logit
EU-15,root,AgroForestLand_EngWales,AgroForest_NonPasture_EngWales,relative-cost-logit
USA,root,AgroForestLand_FraserR,AgroForest_NonPasture_FraserR,relative-cost-logit
Canada,root,AgroForestLand_FraserR,AgroForest_NonPasture_FraserR,relative-cost-logit
EU-15,root,AgroForestLand_EmsWeserR,AgroForest_NonPasture_EmsWeserR,relative-cost-logit
EU-12,root,AgroForestLand_OderR,AgroForest_NonPasture_OderR,relative-cost-logit
EU-15,root,AgroForestLand_OderR,AgroForest_NonPasture_OderR,relative-cost-logit
EU-12,root,AgroForestLand_WislaR,AgroForest_NonPasture_WislaR,relative-cost-logit
Europe_Eastern,root,AgroForestLand_WislaR,AgroForest_NonPasture_WislaR,relative-cost-logit
EU-12,root,AgroForestLand_ElbeR,AgroForest_NonPasture_ElbeR,relative-cost-logit
EU-15,root,AgroForestLand_ElbeR,AgroForest_NonPasture_ElbeR,relative-cost-logit
EU-15,root,AgroForestLand_RhineR,AgroForest_NonPasture_RhineR,relative-cost-logit
