INPUT_TABLE
Variable ID
LN1_Logit_relative-cost-logit

region,LandAllocatorRoot,LandNode1,logit.type
USA,root,ProtectedShrubland_PacArctic,relative-cost-logit
USA,root,ProtectedShrubland_MexCstNW,relative-cost-logit
USA,root,ProtectedShrubland_California,relative-cost-logit
USA,root,ProtectedShrubland_UsaColoRN,relative-cost-logit
USA,root,ProtectedShrubland_UsaColoRS,relative-cost-logit
USA,root,ProtectedShrubland_GreatBasin,relative-cost-logit
USA,root,ProtectedShrubland_MissouriR,relative-cost-logit
USA,root,ProtectedShrubland_ArkWhtRedR,relative-cost-logit
USA,root,ProtectedShrubland_TexasCst,relative-cost-logit
USA,root,ProtectedShrubland_UsaCstSE,relative-cost-logit
USA,root,ProtectedShrubland_UsaPacNW,relative-cost-logit
USA,root,ProtectedShrubland_RioGrande,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_NileR,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_AfrCstNE,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_AfrIntN,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_LChad,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_ShebJubR,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_AfrCstE,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_Madasgacar,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_RiftValley,relative-cost-logit
Africa_Eastern,root,ProtectedShrubland_CongoR,relative-cost-logit
Africa_Northern,root,ProtectedShrubland_MeditE,relative-cost-logit
Africa_Northern,root,ProtectedShrubland_MeditS,relative-cost-logit
Africa_Northern,root,ProtectedShrubland_AfrCstNW,relative-cost-logit
Africa_Northern,root,ProtectedShrubland_NileR,relative-cost-logit
Africa_Northern,root,ProtectedShrubland_AfrIntN,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_NileR,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_AfrCstE,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_RiftValley,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_AngolaCst,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_CongoR,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_ZambeziR,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_AfrCstSE,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_OrangeR,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_AfrCstSW,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_AfrIntS,relative-cost-logit
Africa_Southern,root,ProtectedShrubland_LimpopoR,relative-cost-logit
Africa_Western,root,ProtectedShrubland_AfrCstNW,relative-cost-logit
Africa_Western,root,ProtectedShrubland_NileR,relative-cost-logit
Africa_Western,root,ProtectedShrubland_AfrCstW,relative-cost-logit
Africa_Western,root,ProtectedShrubland_AfrIntN,relative-cost-logit
Africa_Western,root,ProtectedShrubland_NigerR,relative-cost-logit
Africa_Western,root,ProtectedShrubland_LChad,relative-cost-logit
Africa_Western,root,ProtectedShrubland_SenegalR,relative-cost-logit
Africa_Western,root,ProtectedShrubland_GuineaGulf,relative-cost-logit
Africa_Western,root,ProtectedShrubland_CongoR,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_AusCstN,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_AusCstE,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_AusCstW,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_AusInt,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_AusCstS,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_MurrayDrlg,relative-cost-logit
Australia_NZ,root,ProtectedShrubland_Tasmania,relative-cost-logit
Brazil,root,ProtectedShrubland_SAmerCstNE,relative-cost-logit
Brazil,root,ProtectedShrubland_AmazonR,relative-cost-logit
Brazil,root,ProtectedShrubland_BrzCstN,relative-cost-logit
Brazil,root,ProtectedShrubland_TocantinsR,relative-cost-logit
Brazil,root,ProtectedShrubland_BrzCstE,relative-cost-logit
Brazil,root,ProtectedShrubland_ParnaibaR,relative-cost-logit
Brazil,root,ProtectedShrubland_SaoFrancR,relative-cost-logit
Brazil,root,ProtectedShrubland_BrzCstS,relative-cost-logit
Brazil,root,ProtectedShrubland_RioLaPlata,relative-cost-logit
Canada,root,ProtectedShrubland_NWTerr,relative-cost-logit
Canada,root,ProtectedShrubland_PacArctic,relative-cost-logit
Canada,root,ProtectedShrubland_Mackenzie,relative-cost-logit
Canada,root,ProtectedShrubland_NelsonR,relative-cost-logit
Canada,root,ProtectedShrubland_FraserR,relative-cost-logit
Canada,root,ProtectedShrubland_StLwrncR,relative-cost-logit
Canada,root,ProtectedShrubland_MissouriR,relative-cost-logit
Central America and Caribbean,root,ProtectedShrubland_Caribbean,relative-cost-logit
Central America and Caribbean,root,ProtectedShrubland_YucatanP,relative-cost-logit
Central America and Caribbean,root,ProtectedShrubland_GrijUsuR,relative-cost-logit
Central America and Caribbean,root,ProtectedShrubland_CntAmer,relative-cost-logit
Central America and Caribbean,root,ProtectedShrubland_SAmerCstN,relative-cost-logit
Central America and Caribbean,root,ProtectedShrubland_ColEcuaCst,relative-cost-logit
Central Asia,root,ProtectedShrubland_VolgaR,relative-cost-logit
