INPUT_TABLE
Variable ID
Supplysector_relative-cost-logit

region,supplysector,logit.type
USA,FodderHerb_Residue,relative-cost-logit
USA,Pasture_FodderGrass,relative-cost-logit
USA,FeedCrops,relative-cost-logit
USA,Scavenging_Other,relative-cost-logit
Africa_Eastern,FodderHerb_Residue,relative-cost-logit
Africa_Eastern,Pasture_FodderGrass,relative-cost-logit
Africa_Eastern,FeedCrops,relative-cost-logit
Africa_Eastern,Scavenging_Other,relative-cost-logit
Africa_Northern,FodderHerb_Residue,relative-cost-logit
Africa_Northern,Pasture_FodderGrass,relative-cost-logit
Africa_Northern,FeedCrops,relative-cost-logit
Africa_Northern,Scavenging_Other,relative-cost-logit
Africa_Southern,FodderHerb_Residue,relative-cost-logit
Africa_Southern,Pasture_FodderGrass,relative-cost-logit
Africa_Southern,FeedCrops,relative-cost-logit
Africa_Southern,Scavenging_Other,relative-cost-logit
Africa_Western,FodderHerb_Residue,relative-cost-logit
Africa_Western,Pasture_FodderGrass,relative-cost-logit
Africa_Western,FeedCrops,relative-cost-logit
Africa_Western,Scavenging_Other,relative-cost-logit
Australia_NZ,FodderHerb_Residue,relative-cost-logit
Australia_NZ,Pasture_FodderGrass,relative-cost-logit
Australia_NZ,FeedCrops,relative-cost-logit
Australia_NZ,Scavenging_Other,relative-cost-logit
Brazil,FodderHerb_Residue,relative-cost-logit
Brazil,Pasture_FodderGrass,relative-cost-logit
Brazil,FeedCrops,relative-cost-logit
Brazil,Scavenging_Other,relative-cost-logit
Canada,FodderHerb_Residue,relative-cost-logit
Canada,Pasture_FodderGrass,relative-cost-logit
Canada,FeedCrops,relative-cost-logit
Canada,Scavenging_Other,relative-cost-logit
Central America and Caribbean,FodderHerb_Residue,relative-cost-logit
Central America and Caribbean,Pasture_FodderGrass,relative-cost-logit
Central America and Caribbean,FeedCrops,relative-cost-logit
Central America and Caribbean,Scavenging_Other,relative-cost-logit
Central Asia,FodderHerb_Residue,relative-cost-logit
