# ../aglu-data/level1//L100.FAO_ag_Prod_t.csv
# Written by LA100.FAO_downscale_ctry.R
# Mon Mar 12 09:47:01 2018
# " FAO agricultural production by country / item / year "
# " Unit = t "
"countries","country.codes","item","item.codes","element","element.codes","iso","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"Afghanistan",2,"Almonds, with shell",221,"ag_Prod_t",51,"afg",0,0,0,1960,3760,6160,8260,10240,9880,10280,9820,9820,9640,10040,9640,9500,9160,9260,9060,9240,9240,9280,9180,9180,9000,9000,9400,10000,11200,12469.8,13469.8,14209.8,14935.8,15935.8,19162.2,24762.2,30458.8,38532.8,46655,50448.5
"Afghanistan",2,"Anise, badian, fennel, corian.",711,"ag_Prod_t",51,"afg",0,0,0,0,0,0,0,0,0,0,0,0,0,100,200,240,400,600,701,701,777.4,688,888,1527,1927,3230.6,4560,4660,4020,3920,3320,3720,5220,7111.6,10111.6,11091.6,10966.2,11006.2,11325.6,9907
"Afghanistan",2,"Apples",515,"ag_Prod_t",51,"afg",26240,26160,26280,27220,25000,24020,22780,21660,20840,22020,21640,21320,20680,20140,19180,18400,17780,17333.4,16836,16956,16976,17096,17133.2,17126.6,17221.4,17332.4,17386.8,17287.2,17514.4,17455.6,18171.4,19006.6,20842,27738.8,36162.8,43754,53917.4,60741,62134.8,62793.5
"Afghanistan",2,"Apricots",526,"ag_Prod_t",51,"afg",55820,55660,55940,57940,53260,51160,48520,46120,44400,46860,46060,45360,44000,42840,40820,39140,37860,36926,35891.6,36171.6,36391.6,37808.4,38102.4,38755.2,39514.4,40606.8,39081.6,39223,38944.6,38751.8,38618,40358,42355,44755,48448.6,51581.4,54729.8,54291.4,55500,54875
"Afghanistan",2,"Barley",44,"ag_Prod_t",51,"afg",360000,363000,365800,374800,364800,357800,345400,332800,312800,308000,296200,283400,267200,253400,244400,238200,233600,228800,226000,219800,222800,222600,219400,220000,230000,228000,225200,2e+05,173400,192400,192400,207200,259800,315200,320200,338800,378000,398000,386380,390475
"Afghanistan",2,"Berries Nes",558,"ag_Prod_t",51,"afg",57300,57300,58500,59500,55400,55300,55200,55000,56000,60000,59800,59600,59400,59000,58600,58400,58000,57578,57387,56102,55220,55433,55349.2,55821,58835.8,62386.8,65266.2,67941.2,70425.6,71209.8,71862,73170.8,69401.6,63536.4,59022.4,53501.2,44160,38912.8,35334,32167.5
"Afghanistan",2,"Citrus fruit, nes",512,"ag_Prod_t",51,"afg",8640,8600,8640,8940,8220,7900,7500,7120,6860,7240,7100,7000,6800,6620,6320,6060,5860,5717.8,5558.6,5598.6,5782,6052.6,6287.2,6589,7045,7470,7814.6,8134.8,8432.2,8526.2,8604.4,8761.2,8228.6,7308.6,5938.6,4472,2980,2240,1726.2,1757.75
"Afghanistan",2,"Figs",569,"ag_Prod_t",51,"afg",13860,13820,13900,14380,13220,12700,12040,11440,11020,11640,11440,11260,10920,10620,10120,9700,9380,9160,8925,8985,9005,9045,9015,9072,9252,10852,12150,14380,15918,17918,18910,20192,27192,27792,29792,31400,32000,25000,24809,23511.25
"Afghanistan",2,"Fruit Fresh Nes",619,"ag_Prod_t",51,"afg",128160,127140,127320,131452.8,118977.8,112254,104854,97820,93767.2,99882.2,98666,96527.2,92840.6,88760.4,83840.4,79426.4,77085.2,75515.8,74226,75406,80420.2,87408.4,94921.6,102723.2,110639,116077.4,119238.6,121129.4,123184.6,124556.4,119597.8,113377.2,107885.6,101936.8,95314.4,94514.4,100624.6,101873.4,104084.6,107524.25
"Afghanistan",2,"Grapes",560,"ag_Prod_t",51,"afg",356200,361800,373000,408600,422600,433600,440600,448400,445200,448000,446800,442000,431800,413800,397000,383200,372600,364000,364000,358000,351000,344000,337000,330000,330000,330000,330000,330000,337000,344000,351000,354820,357960,354960,353960,353760,359540,369800,382000,387500
