# ../aglu-data/level1//L100.FAO_ag_Prod_t.csv
# Written by LA100.FAO_downscale_ctry.R
# Mon Mar 12 09:47:01 2018
# " FAO agricultural production by country / item / year "
# " Unit = t "
"countries","country.codes","item","item.codes","element","element.codes","iso","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"Afghanistan",2,"Linseed",333,"ag_Prod_t",51,"afg",19620,19980,20540,21740,21960,21620,20960,20200,19500,19000,18500,18000,17500,17000,16500,16000,15500,15000,14500,14104.8,13729,13495.4,13319.6,13209.2,13090.2,13055.6,12994.2,12633.8,12304.2,11982.2,11791.8,10846.8,10583,8543,6519.2,4380,2960,1240,1320,1350
"Afghanistan",2,"Maize",56,"ag_Prod_t",51,"afg",720400,717400,740000,766000,774000,778000,776000,770400,750600,731200,703000,672600,637600,610800,581000,552000,522000,502600,473200,430400,425600,434000,444000,432000,432000,404000,352000,269000,229000,228600,204600,236600,276600,316400,328800,342800,322800,320000,308224,295280
"Afghanistan",2,"Millet",79,"ag_Prod_t",51,"afg",28800,29600,30400,32600,33600,34800,35400,35800,34200,33200,32000,30800,29400,28000,27000,26000,25400,25200,25436.8,24436.8,24269.4,23669.4,23066.4,21605.8,21899.2,21586.4,20980.2,20783.2,21407,21113.6,19993.8,19600,19600,17600,17600,18600,19000,17600,18200,17750
"Afghanistan",2,"Nuts, nes",234,"ag_Prod_t",51,"afg",14920,15760,16280,13500,10320,7320,4120,1260,1500,1500,1500,1840,2580,3100,3440,3800,3380,2540,1920,1480,1020,1000,1000,1000,1000,1000,1000,1000,1000,1000,960,928,906.6,885.2,865.2,933.8,1001.2,1123.2,1274.4,1368
"Afghanistan",2,"Olives",260,"ag_Prod_t",51,"afg",1080,1140,1100,1167.2,1202.2,1266,1186,1220,1152.8,1037.8,874,732.8,659.4,859.6,879.6,993.6,1114.8,1174.2,954,994,960,1020,980,1020,980,1020,980,1020,980,1020,1280,1610,1932.4,2070.8,2169.2,2009.2,1779.2,1536.8,1518.4,1500
"Afghanistan",2,"Oranges",490,"ag_Prod_t",51,"afg",17580,17540,17640,18280,16800,16140,15300,14540,14000,14780,14540,14320,13880,13500,12860,12320,11920,11635.6,11317.4,11417.4,11282.8,11285.4,11151.6,11289.6,11666.2,12100.4,12503.2,13129.4,13425.2,13588,13257.2,12731.8,11863.8,10405,8967.4,8338.6,7838.6,7792.4,8017,8244
"Afghanistan",2,"Other melons (inc.cantaloupes)",568,"ag_Prod_t",51,"afg",21040,21220,21820,23040,23060,23600,24100,24460,23640,24520,24660,24560,24280,23600,22780,22020,21140,21020,21220,21500,21720,20856,19651.2,19490.2,20961.4,23914.6,27691.8,28916.6,30217.6,30266.4,28513.2,26741.2,28399,28328.6,28781.2,29003.8,29565.8,28683,28777.6,27906.25
"Afghanistan",2,"Peaches and nectarines",534,"ag_Prod_t",51,"afg",20980,20940,21040,21780,20000,19200,18200,17320,16680,17620,17320,17060,16540,16100,15340,14720,14240,13894.8,13517,13617,13617,13637,13722.2,13946.8,14421,15418,16801.6,18291.8,20231.4,21798.2,23176.8,24428.2,25990.8,27398.8,25322.2,25238.6,23214,20041.2,16438.8,17143
"Afghanistan",2,"Pears",521,"ag_Prod_t",51,"afg",3480,3480,3500,3620,3340,3200,3040,2900,2780,2920,2880,2840,2740,2680,2560,2440,2360,2319.2,2259.6,2235.8,2206,2160.6,2124.4,2111.8,2156.2,2191.6,2216.6,2273.2,2303.2,2316,2321.4,2334.2,2331,2561.2,2516.8,2765.8,2753.4,2614.4,2225.6,2245.75
"Afghanistan",2,"Pistachios",223,"ag_Prod_t",51,"afg",0,0,0,740,1280,2040,2440,3080,2860,2960,2700,2900,2700,2700,2460,2400,2140,2100,1980,2000,2000,2120,2200,2300,2400,2480,2580,2660,2720,2760,2680,2582,2513.4,2444.8,2724.8,3144.8,3282.8,3557.4,3906.6,3833.25
"Afghanistan",2,"Plums and sloes",536,"ag_Prod_t",51,"afg",52460,52320,52580,54460,50060,48100,45620,43380,41740,44060,43300,42620,41320,40240,38340,36760,35560,34687,33712.4,33952.4,34012.4,34112.4,34245.4,34391.6,34380.2,34753,35082.4,35881.2,36641.6,37794.2,38456.4,38668.8,38970,41878,43841.8,42906.8,42405,39710.4,34791.6,31008.25
"Afghanistan",2,"Potatoes",116,"ag_Prod_t",51,"afg",157600,163200,173300,210700,219100,236100,251100,265400,249200,263800,267400,268000,264400,257400,246200,236200,224800,220000,217000,218400,220400,223759.2,225959.2,231433.8,233633.8,235033.8,238074.6,238074.6,235000,234000,257000,270000,283000,296000,310160,296160,296640,285840,266840,258350
"Afghanistan",2,"Pulses, nes",211,"ag_Prod_t",51,"afg",27820,29040,30100,31860,32980,33700,34760,36560,38720,39000,39040,39000,39400,37900,38140,37300,35740,33740,33280,32760,34360,37560,40960,47000,50000,50395.8,50320.6,49385.6,46204.8,44070.8,44095,43570.2,41509.8,40110.6,40239.6,40319.6,40800,43632.4,45041.8,46308.5
"Afghanistan",2,"Rice, paddy",27,"ag_Prod_t",51,"afg",388600,391200,405000,424600,424600,426200,430000,426000,414400,407200,391600,370600,351000,340200,332200,330800,328000,331200,331000,326200,317600,322000,333400,334400,354400,384400,372000,346000,326400,324000,320800,357400,402400,462000,494800,530400,566800,604200,630600,650250
"Afghanistan",2,"Seed cotton",328,"ag_Prod_t",51,"afg",80400,92600,109800,129400,145400,150200,142000,122600,102400,83600,66800,59200,57000,57600,56400,55200,48400,43000,43600,49200,53800,60200,68000,68000,68000,68000,68000,65800,63600,61400,54400,46400,41600,36600,32210.2,32610.2,35584.6,35584.6,35784.6,35968
"Afghanistan",2,"Sesame seed",289,"ag_Prod_t",51,"afg",20640,21000,21600,23040,23280,22920,23160,23520,24000,25080,26280,26640,26880,27000,26880,26640,26280,25800,25200,25520,25160,25320,25200,24800,23600,23200,22600,22400,22600,22800,24400,26000,27800,29600,31400,31800,32000,32000,32000,32000
"Afghanistan",2,"Stone fruit, nes",541,"ag_Prod_t",51,"afg",31480,31400,31540,32660,30000,28820,27340,26000,25020,26420,25960,25540,24760,24120,22980,22040,21320,20792.2,20195.4,20355.4,20415.4,20495.4,20469.6,20642,21254.2,22241.2,23267.8,24221.4,25107,25386.4,25618.8,26085.2,27239,28714.4,30769.6,33150.4,34569.8,37436,39782,40869
"Afghanistan",2,"Sugar beet",157,"ag_Prod_t",51,"afg",62060,61780,71080,77260,84000,87200,87880,73180,59000,43600,32200,23400,17400,14400,11000,8400,3900,3200,2400,2000,1600,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1800,2200,2600,4987.6,7450.8,9750.8,12190.8,14638,15063
"Afghanistan",2,"Sugar cane",156,"ag_Prod_t",51,"afg",51600,49920,50920,54540,60340,61540,64020,66020,66400,66200,65800,65000,62600,60600,60000,60000,60000,59400,55000,50600,45800,41400,38000,38000,38000,38000,38000,38000,38000,38000,42400,46800,46800,53200,60400,60992,73632,84512,89004,92755
"Afghanistan",2,"Sunflower seed",267,"ag_Prod_t",51,"afg",13760,14000,14400,15360,15520,15280,15440,15680,16000,16720,17520,17760,17920,18000,17920,17760,17520,17200,16800,16485.6,16155.8,15795.8,14915.8,14315.8,13910.2,14000,14219,14616.4,14809,14806.4,14571.2,14352.2,15554.8,15562.2,14724.8,12600,10100,6579.8,4252.4,2865.5
"Afghanistan",2,"Vegetables fresh nes",463,"ag_Prod_t",51,"afg",408660,407960,413680,408840,400780,398280,396760,392220,386300,395620,396080,392580,389140,377960,367100,356180,344020,345080,353460,359780,371140,390740,407220,428000,452000,476000,5e+05,522683,564449.8,573638,605701.4,617701.4,663018.4,649251.6,670063.4,663200,680400,652400,649575.4,649469.25
"Afghanistan",2,"Walnuts, with shell",222,"ag_Prod_t",51,"afg",0,0,0,1060,2220,3280,4400,5500,5500,5380,5400,5260,5140,5080,5020,4900,4820,4860,4860,4880,4920,5020,5000,5000,5000,5000,5000,5000,5000,5000,4780,4599,4470,4470,5311.2,6463.2,7644.6,9153.6,10934,11366
"Afghanistan",2,"Watermelons",567,"ag_Prod_t",51,"afg",84700,85420,87800,92660,92700,94860,96880,98360,95060,98660,99260,98860,97780,95040,91720,88600,85040,84500,85320,86400,87926.6,86796.6,84206,84005.2,82799,84687.2,92380.8,99335.2,105607.4,110909.4,116514.6,108451,113687.2,129695.8,153041.2,167241.2,203041.2,231821.2,251934.2,258116.25
"Afghanistan",2,"Wheat",15,"ag_Prod_t",51,"afg",2320000,2379200,2533000,2737200,2777600,2800200,2782800,2722800,2629600,2577400,2476000,2382200,2288400,2179400,2161200,2080000,2001200,1915000,1875200,1745200,1753200,1803200,1873200,1988000,2200200,2379000,2468800,2362600,2222000,2217000,2346200,2324400,2883800,3237000,3596600,3425200,3960000,4013200,4018200,3901750
"Albania",3,"Alfalfa for forage and silage",641,"ag_Prod_t",51,"alb",139968.6,141829.2,142753.6,143200,147800,151200,157400,164600,171200,177600,184400,188200,438200,710600,989600,1231800,1533000,1515000,1427000,1414000,1457000,1467000,1577000,1716000,1772000,1808000,1818000,1800000,1800000,1800000,1800000,2115864,2429326,2661788,3059750,3515700,3654714,3853452,4140990,4228785
"Albania",3,"Apples",515,"ag_Prod_t",51,"alb",11000,11400,12400,13400,13800,13800,14200,14400,14400,16400,17800,19000,19640,19640,18240,16840,16240,15220,14220,13020,12220,10520,9900,9900,10160,10460,10920,11320,12478.8,13378.8,13738.8,14378.8,15178.8,17533.2,21573.2,27913.2,34353.6,42074.4,47761.2,50701.5
"Albania",3,"Apricots",526,"ag_Prod_t",51,"alb",860,920,940,1000,1060,1180,1280,1300,1300,1280,1200,1100,1080,1160,1200,1240,1360,1500,1420,1337.2,1297.2,1177.2,957.2,785.2,688,548,428,442,690.2,1010.2,1370.2,1650.2,1916.2,1980,1980,2240,2650,2944.2,3364.2,3705.25
"Albania",3,"Barley",44,"ag_Prod_t",51,"alb",8280,8780,8840,10340,12400,14600,17200,20200,22200,23680,25680,27080,28080,30280,32800,34800,36800,31800,25264.6,18778.4,11609,5409,5863.8,5838.2,5472,5291,4071,2976.2,2937.2,2949.6,2880,3040,3500,4100,4040,4180,4340,4980,5520,6025
"Albania",3,"Beans, dry",176,"ag_Prod_t",51,"alb",12356.6,12502,11875.8,12160,13060,14260,15300,16900,18000,18700,19100,19000,18600,18800,18400,18200,19400,19000,17368.8,18808.2,19910,18630,19884.8,22366.4,21436.2,21271,22951,23936.2,23305.8,24096.6,23120,22400,22080,22520,21780,22580,22700,22780,22980,23525
"Albania",3,"Beans, green",414,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,140,340,660,1140,1700,2360,3284,4044,5064,5984,6784,8860,9180,9100,8960.4,9261.8,7981.8,8227.25
"Albania",3,"Broad beans, horse beans, dry",181,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,120,164.2,214.8,243.8,226.8,234.4,224.8,217.8,214.8,219.2,212.2,220.2,221.6,215.6,210.4,212.25
"Albania",3,"Cabbages and other brassicas",358,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4700,8300,15760,24540,32960,34260,36460,35200,33620,30700,31140,30217,29897,30297,32897,34657,36805.8,35925.8,34405.8,31670.4,30636.8,30611,32013.75
"Albania",3,"Carrots and turnips",426,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1380,2300,3340,4520,4900,5260,5540,5700,5700,5780,6120,6260,5760,5340,4900,3853.6,3313.6,3893.6,4455.2,4915.8,5922.2,6402.75
"Albania",3,"Cauliflowers and broccoli",393,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,440,720,1040,1400,1500,1600,1680,1720,1700,1720,1800,1840,1880,2180,2480,2742,2942,3572,3915.4,4175.6,4453.6,4817
"Albania",3,"Cherries",531,"ag_Prod_t",51,"alb",680,720,740,770,800,840,860,860,790,720,640,540,440,480,480,480,540,580,508,458.2,438.2,383.2,883.2,1835.2,2645,3465,4280,4680,5020,5360,5720,6200,6640,6816,7116,7456,8250.2,9315.8,11079.8,11974.75
"Albania",3,"Chestnuts",220,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,1900,2900,3900,4900,5000,5000,5000,5000,5000,5000,5000,5000,5116,5174,5207.2,5259
"Albania",3,"Chillies and peppers, green",401,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,11800,20200,29600,39800,41200,41800,40800,39800,35800,35400,33800,31800,32200,35120,37720,42335.6,45935.6,46455.6,47687,51582,55766.4,58458
"Albania",3,"Clover for forage and silage",640,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178599.2,372052.6,532526,692926,853326,834726.8,801273.4,800800,800500
"Albania",3,"Cucumbers and gherkins",397,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,13000,22400,32800,44200,46200,47000,46200,45400,41400,39200,38000,35800,36860,40160,45160,49342.4,52942.4,53422.4,54918.4,57710.2,61027.8,63784.75
"Albania",3,"Dates",577,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,2478,4058,5658,7458,8198,9064.2,9884.2,10355.25
"Albania",3,"Eggplants (aubergines)",399,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,4200,7000,10200,13600,14600,15800,16600,17000,17200,17500,18400,18800,19200,19600,20120,19638.8,19638.8,19118.8,19034.6,19542.8,20744,20930
"Albania",3,"Figs",569,"ag_Prod_t",51,"alb",13000,13100,13200,13400,13600,13800,14040,14440,14840,16040,17640,18460,18720,19120,17980,16460,16760,15920,13800,12200,11140,8780,8060,8960,10000,10580,11300,12120,14298,14898,15998,16378,16958,15730,16030,16130,17233.4,17710.8,18280.8,18851
"Albania",3,"Fruit Fresh Nes",619,"ag_Prod_t",51,"alb",2020,2140,2380,2200,2200,2300,2400,2860,3160,3480,3640,3900,4400,5020,5760,6500,7460,6860,5700,4440,3180,1552,902,822,707.8,656.2,724.2,1174.2,1854.2,2728.4,4000,5400,6800,8500,10592.4,11304.4,12552.8,12342.2,11922.2,11037.25
"Albania",3,"Garlic",406,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1380,2300,3340,4500,4880,5240,5520,5680,5700,5780,6120,6260,6660,6880,7040,6923.4,6783.4,6515.4,6524.2,6750.6,7187.2,7484
"Albania",3,"Grapes",560,"ag_Prod_t",51,"alb",58940,59400,59200,62200,63600,65800,66600,67400,68060,71240,73240,74040,76520,75200,74720,73360,75320,77380,76180,68240,61280,54120,47078.6,47361.6,53294.8,58880.2,64160.2,68921.6,74118.6,77245.4,84680,90020,97180,105720,118400,128080,141220,155180,168660,174200
"Albania",3,"Hops",677,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,62.2,88.2,118.2,138.2,256.2,376,530,660,820,883.4,956.4,1076.4,1170.2,1231.6,1285.25
"Albania",3,"Leeks, other alliaceous veg",407,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,7600,13400,19600,26200,27600,27000,25200,23800,20000,18400,17800,17200,18300,20800,23200,24499,25099,23919,22114.2,20850.6,21351.6,21689.5
"Albania",3,"Leguminous vegetables, nes",420,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,80,140,160,160,140,140,100,100,100,100,101.4,103.2,103.2,101.8,102.25
"Albania",3,"Lemons and limes",497,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.4,260.4,432.4,737.4,1305.4,1455,1642.4,1870.4,1956.75
"Albania",3,"Lettuce and chicory",372,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.6,1768.6,2968.6,4703.6,6502.6,6934,8167.5
"Albania",3,"Maize",56,"ag_Prod_t",51,"alb",221324.4,226455.8,234966,246120,262920,288600,315350,316690,322850,327170,332370,323020,322480,329720,323200,297400,294800,285400,241755.8,211168.4,198918.6,176170.8,173884,190940,198691,201366.8,203914.6,201941.4,198789.6,199286,202840,204880,207720,217140,220860,228480,238260,266680,290880,309625
"Albania",3,"Maize for forage and silage",636,"ag_Prod_t",51,"alb",436836,401596,372368,388000,404000,416000,430800,442800,450800,456800,462800,466000,468000,468000,462000,448000,430000,392000,349200,309200,284800,264400,282800,303475.6,320826.8,326053.4,326755.6,304133.4,281511.2,258888.8,236266.6,213350,179051.6,154484,126417.2,104211.8,86804.2,85324.8,78639,79971.25
"Albania",3,"Mushrooms and truffles",449,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38.8,58.4,76.8,96,96.2,98.2,101.4,106.6,107.6,107.4,106.4,104.6,102.4,102.2,106.8,108.75
"Albania",3,"Nuts, nes",234,"ag_Prod_t",51,"alb",4000,4000,4000,4000,4100,4200,4310,4420,4620,4720,4820,4910,4900,4800,4700,4560,4440,4340,4160,4020,3940,4046,3946,3786,3486,3206,2740,2529.4,2495.8,2567.4,2542,2582,2792.6,3026.2,3294.6,3720,4207.4,4605.4,4851.6,5064.5
"Albania",3,"Oats",75,"ag_Prod_t",51,"alb",20200,21500,23000,24200,26000,27200,27600,28200,28800,29200,29600,30000,30000,30000,30000,30000,28000,24400,19000,13933.4,11532.2,11532.2,11730,13675,15155,14636.2,13276.2,13818.4,14333.4,15860,16060,18040,19740,21200,21540,22620,23000,23620,25080,26000
"Albania",3,"Okra",430,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1380,2300,3340,4520,4900,5260,5540,5700,5700,5780,6120,6260,6260,6140,6060,6860,7000,7400,7971.8,8411.8,7942.4,8078
"Albania",3,"Olives",260,"ag_Prod_t",51,"alb",36400,39600,46000,46800,49200,46200,43200,38180,34580,27720,29120,27720,29020,27800,31800,27480,28700,24020,27500,24000,24380,24160,29912.6,28384.6,31014,35329.2,37731.6,37219,39607,38397.6,34609,37946.6,36746.6,36866.6,36926.6,42580,46440,54400,59440,67400
"Albania",3,"Onions (inc. shallots), green",402,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,2760,4620,6720,9060,9820,10540,11080,11380,11400,11580,12260,12460,12460,12700,12960,13019.8,13019.8,15775.8,18437,22360,27300.2,30875.25
"Albania",3,"Onions, dry",403,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,13000,22400,32800,44200,46000,46800,46000,45200,41200,39200,38000,36000,36600,39200,43600,49538.2,54938.2,56998.2,60091.6,63760.4,66422.2,68027.75
"Albania",3,"Oranges",490,"ag_Prod_t",51,"alb",4304,4720,5260,6260,6760,7600,8400,9360,9400,10320,11200,11680,12160,13100,12560,12480,13100,12500,11920,12520,12500,12080,10796.4,9196.6,7220,5003.2,2843.2,2606.8,2566.6,2643.2,3080,3620,4140,4314,4474,4494,4664,4950.2,5696.2,6070.25
"Albania",3,"Other melons (inc.cantaloupes)",568,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6040,12140,18340,26501,34501,43421,43860.2,50584.6,55223.6,59029.5
"Albania",3,"Peaches and nectarines",534,"ag_Prod_t",51,"alb",1900,2200,2400,2800,3200,3800,4200,4540,4480,4380,4040,3640,3220,3460,3540,3660,4020,4360,3960,3608,3428,2968,2508,2248,2180,1980,1880,1880,2780,3220,3700,4260,4980,5268,5968,6888,8137.4,9322.4,10414.4,11143
"Albania",3,"Pears",521,"ag_Prod_t",51,"alb",4440,4640,4740,4940,5120,5400,5600,5740,5960,6060,6020,5900,5960,6360,6540,6720,7320,7816.4,7096.4,6516.4,6096.4,5416.4,4320,3760,3400,2960,2440,2390,2646.8,2906.8,3126.8,3446.8,3756.8,4012,4252,4666,5302,5907.2,6655.2,7144
"Albania",3,"Peas, green",417,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.8,782.8,1268.8,1783.2,2397.4,2634.6,2793.25
"Albania",3,"Plums and sloes",536,"ag_Prod_t",51,"alb",12800,12000,13000,13600,14600,15600,15800,15800,16400,17600,18000,18600,18200,17400,15400,14080,13680,12800,11040,9280,7920,6108.8,6188.8,8048.8,9408.8,10688.8,11920,12340,12840.8,13700.8,14100.8,15480.8,16260.8,16460,17400,19000,19958.2,21974.8,23874.8,24843.5
"Albania",3,"Potatoes",116,"ag_Prod_t",51,"alb",97975.8,94584.2,94842.8,97880,105000,112600,115560,113720,114540,111380,114780,109020,106260,104440,102000,86800,88200,87200,82393.2,80298.2,88603.6,86987.2,97769.2,106894,116534.8,125228.6,139825,145243,151665,158939.2,161580,161160,162820,162600,160960,167320,175360,183100,196600,207025
"Albania",3,"Pulses, nes",211,"ag_Prod_t",51,"alb",560.8,572.6,532,600,800,910,902,954,954,766,676,684,692,692,700,700,700,680,642,608,568,538,498,436,390,360,330,340,379,419,421.6,433,453,494,494,541.4,576.6,586.6,593.2,616.5
"Albania",3,"Pumpkins, squash and gourds",394,"ag_Prod_t",51,"alb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,1380,2300,3340,4520,4900,5260,5540,5700,5700,5780,6120,6260,6460,6720,6980,6754.8,6814.8,6508.8,6365.2,6810.4,7675.6,7844.5
"Albania",3,"Quinces",523,"ag_Prod_t",51,"alb",960,1040,1080,1200,1320,1480,1600,1680,1580,1480,1320,1140,980,1060,1080,1120,1240,1300,1100,933.8,833.8,693.8,613.8,659.6,738.6,718.6,681.2,675,696,743.2,743.2,720.6,726.8,860,1222.6,1702.6,2242.6,2741.6,3181.6,3273.75
"Albania",3,"Rice, paddy",27,"ag_Prod_t",51,"alb",13425.6,12970.4,12685.6,13333.6,13813.6,13740,14444,14344,14324,13824,13464,12880,12680,12100,11840,11006,10176,9176,7432.6,5504.6,3855.6,2165.6,765.6,309,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",3,"Rye",71,"ag_Prod_t",51,"alb",8169.6,8276.8,8068.2,8532,8906,9240,9600,10000,9160,8660,8660,9020,9200,10040,10540,10420,9920,9340,7625.4,5897.4,4565.2,3458.2,2704,2935.6,3269.4,3301.8,3228.8,2683,2906,2840.2,2740,2540,2840,2620,2740,2880,3040,2900,3060,3000
